setting,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,n_estimators,cv_score_mean,cv_score_sd
1,4,0.05,0.8,0.6,1.0,400,0.9045114423301375,0.014571846876996381
2,6,0.05,0.8,0.6,1.0,400,0.9022648029512563,0.0175644331510257
3,6,0.1,0.8,0.8,2.0,300,0.9043049187498339,0.016824036082230962
4,8,0.05,0.7,0.5,5.0,400,0.9028810835959806,0.01253233716747957
