setting,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,n_estimators,cv_score_mean,cv_score_sd
1,4,0.05,0.8,0.6,1.0,400,0.7500317250193657,0.010311455405402969
2,6,0.05,0.8,0.6,1.0,400,0.7533708999099723,0.009901572065670728
3,6,0.1,0.8,0.8,2.0,300,0.7547367057798519,0.011161508727446798
4,8,0.05,0.7,0.5,5.0,400,0.7509337213435044,0.008004789593016341
