Sample,Modality,Method,Burden,MAE,Cosine,Top_Process_Truth,Top_Process_Pred,Top1_Process_Match,Modal_Mass_Error
SIM-0407,SBS,Naive pooled UGA NNLS,1162,0.0031366999658317576,0.9997525767959762,6,6,1.0,0.011243200258913677
SIM-0407,DBS,Naive pooled UGA NNLS,86,0.01895029508138998,0.992217323793397,6,6,1.0,0.002310486206674317
SIM-0407,ID,Naive pooled UGA NNLS,39,0.03846153846153846,0.939686715225444,6,6,1.0,0.00893271405223945
SIM-0408,SBS,Separate categorical NNLS,946,0.0056025760744693905,0.9989971443608332,4,4,1.0,
SIM-0408,SBS,Separate UGA NNLS,946,0.0011660301921605112,0.9999471560700571,4,4,1.0,
SIM-0408,DBS,Separate categorical NNLS,104,0.006898076517550471,0.9978371079255361,4,4,1.0,
SIM-0408,DBS,Separate UGA NNLS,104,0.0025477575232122035,0.9996264869326198,4,4,1.0,
SIM-0408,ID,Separate categorical NNLS,58,0.007571632478514588,0.9962710807502139,4,4,1.0,
SIM-0408,ID,Separate UGA NNLS,58,0.0031022012962649025,0.9998493067716901,4,4,1.0,
SIM-0408,SBS,Naive pooled UGA NNLS,946,0.004294402717841571,0.9992806979861869,4,4,1.0,0.019998532474870268
SIM-0408,DBS,Naive pooled UGA NNLS,104,0.01377593870458071,0.9935691055453566,4,4,1.0,0.006394858560720251
SIM-0408,ID,Naive pooled UGA NNLS,58,0.02879905430490411,0.9560793512548764,4,4,1.0,0.02639339103559054
SIM-0409,SBS,Separate categorical NNLS,2043,0.003828470250392983,0.9995452288046026,6,6,1.0,
SIM-0409,SBS,Separate UGA NNLS,2043,0.001558557252347342,0.9999297353816502,6,6,1.0,
SIM-0409,DBS,Separate categorical NNLS,35,0.002306708732965674,0.9997111287529034,6,6,1.0,
SIM-0409,DBS,Separate UGA NNLS,35,0.0035819391316524955,0.9995102804921655,6,6,1.0,
SIM-0409,ID,Separate categorical NNLS,40,0.005667376929770978,0.997111514887414,2,2,1.0,
SIM-0409,ID,Separate UGA NNLS,40,0.00324469690584706,0.9996127626548899,2,2,1.0,
SIM-0409,SBS,Naive pooled UGA NNLS,2043,0.002693514933711076,0.9998058383509432,6,6,1.0,0.0006658011122042673
