repeat,fold,n_train,n_test,fold_spearman,fold_mae,suite,endpoint,task,feature_set,fold_auroc,fold_balanced_accuracy
1,1,617,155,0.6784568018417649,4.318292879289197,tcga_brca_hrd,HRD_LST,regression,standard_sbs_id_exposure,,
1,2,617,155,0.613371177217013,3.7457553063669513,tcga_brca_hrd,HRD_LST,regression,standard_sbs_id_exposure,,
1,3,618,154,0.6814233361548547,3.394433002967339,tcga_brca_hrd,HRD_LST,regression,standard_sbs_id_exposure,,
1,4,618,154,0.7050121181319744,4.4915507830582655,tcga_brca_hrd,HRD_LST,regression,standard_sbs_id_exposure,,
1,5,618,154,0.6379750104819747,4.236956438460908,tcga_brca_hrd,HRD_LST,regression,standard_sbs_id_exposure,,
1,1,617,155,0.6394718297784375,12.86565500690091,tcga_brca_hrd,HRD_Score,regression,burden_only,,
1,2,617,155,0.6168702390436762,12.401668499362083,tcga_brca_hrd,HRD_Score,regression,burden_only,,
1,3,618,154,0.6406521659766027,11.49847900093376,tcga_brca_hrd,HRD_Score,regression,burden_only,,
1,4,618,154,0.575529490380811,10.864358641884545,tcga_brca_hrd,HRD_Score,regression,burden_only,,
1,5,618,154,0.6533944815027097,10.94599268033907,tcga_brca_hrd,HRD_Score,regression,burden_only,,
1,1,617,155,0.7339233634283473,10.270534503075384,tcga_brca_hrd,HRD_Score,regression,locked_uga_sbs_exposure,,
1,2,617,155,0.698178356805846,10.595966572915357,tcga_brca_hrd,HRD_Score,regression,locked_uga_sbs_exposure,,
1,3,618,154,0.6322558488861367,11.411250684168431,tcga_brca_hrd,HRD_Score,regression,locked_uga_sbs_exposure,,
1,4,618,154,0.6485751795679957,9.619513270142791,tcga_brca_hrd,HRD_Score,regression,locked_uga_sbs_exposure,,
1,5,618,154,0.6757921391594299,10.816711116146733,tcga_brca_hrd,HRD_Score,regression,locked_uga_sbs_exposure,,
1,1,617,155,0.6733636092671946,10.094854287178286,tcga_brca_hrd,HRD_Score,regression,locked_uga_sbs_id_exposure,,
1,2,617,155,0.6411710144012704,11.474515016617314,tcga_brca_hrd,HRD_Score,regression,locked_uga_sbs_id_exposure,,
1,3,618,154,0.7088611293717838,9.444912607019598,tcga_brca_hrd,HRD_Score,regression,locked_uga_sbs_id_exposure,,
1,4,618,154,0.7218990963027397,9.20035663208404,tcga_brca_hrd,HRD_Score,regression,locked_uga_sbs_id_exposure,,
1,5,618,154,0.6434660109625915,10.462305341448102,tcga_brca_hrd,HRD_Score,regression,locked_uga_sbs_id_exposure,,
1,1,617,155,0.7404672484436324,9.989020267609629,tcga_brca_hrd,HRD_Score,regression,standard_sbs_exposure,,
1,2,617,155,0.7110176837253078,10.36226182137766,tcga_brca_hrd,HRD_Score,regression,standard_sbs_exposure,,
1,3,618,154,0.6817379033007853,9.747807416048916,tcga_brca_hrd,HRD_Score,regression,standard_sbs_exposure,,
1,4,618,154,0.6654489496935627,10.967125415802002,tcga_brca_hrd,HRD_Score,regression,standard_sbs_exposure,,
1,5,618,154,0.6301553073848677,10.984169885709688,tcga_brca_hrd,HRD_Score,regression,standard_sbs_exposure,,
1,1,617,155,0.6702559086377468,10.309017655157271,tcga_brca_hrd,HRD_Score,regression,standard_sbs_id_exposure,,
1,2,617,155,0.7239745472695372,9.62466439277895,tcga_brca_hrd,HRD_Score,regression,standard_sbs_id_exposure,,
1,3,618,154,0.6564912552167331,10.7963488566411,tcga_brca_hrd,HRD_Score,regression,standard_sbs_id_exposure,,
1,4,618,154,0.6682660309435161,10.45998427774999,tcga_brca_hrd,HRD_Score,regression,standard_sbs_id_exposure,,
1,5,618,154,0.7025455061474869,9.479105262013224,tcga_brca_hrd,HRD_Score,regression,standard_sbs_id_exposure,,
1,1,617,155,0.5749786127565844,5.052604244601342,tcga_brca_hrd,HRD_TAI,regression,burden_only,,
1,2,617,155,0.593069014735492,4.579775481070242,tcga_brca_hrd,HRD_TAI,regression,burden_only,,
