benchmark,representation,n_features,n_samples,cache_key,construction
mc3_main,burden_only,3,10224,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,MC3 cached burden-only matrix
mc3_main,standard_sbs96_id83,182,10224,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,MC3 cached SBS96+ID83 signature matrix
kucab_damage_class,burden_only,1,259,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,Kucab raw-event spectra/burden from FASTA-validated event inventory
kucab_damage_class,standard_sbs96_dbs78_id83,261,259,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,Kucab raw-event spectra/burden from FASTA-validated event inventory
kucab_damage_class,MAF_stack_only,2255,259,main_complete_panel_kucab_event_stack_872e23eb5f9880be0be816d9,Kucab event-stack analogue; no TCGA gene-consequence MAF atlas
kucab_damage_class,signatures_plus_MAF_stack,2516,259,main_complete_panel_kucab_signatures_plus_event_stack_fd639a8047eaf339d8ce38eb,Kucab event-stack analogue; no TCGA gene-consequence MAF atlas
mc3_main,MAF_stack_only,1823,10224,main_complete_panel_mc3_maf_only_best_gene_locus_multiscale_stack_4d7204a3df7f4ac9d62a915b,MC3/HRD maf_only_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack
mc3_main,signatures_plus_MAF_stack,2005,10224,main_complete_panel_mc3_id_plus_best_gene_locus_multiscale_stack_9b80a6853e563772f3b369f5,MC3/HRD id_plus_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack
