suite,endpoint,task,n,metric_name,standard_sbs_exposure,locked_uga_sbs_exposure,standard_sbs_id_exposure,locked_uga_sbs_id_exposure,delta_locked_uga_minus_standard_sbs_id,bootstrap_ci_low,bootstrap_ci_high,p_value,q_value
tcga_brca_hrd,eCARD,regression,772,spearman,0.3002652460605538,0.3312715806083959,0.3115130775101201,0.3355302092036242,0.024017131693504112,-0.020931223710722376,0.06375692607002363,0.3880597014925373,0.6716417910447762
tcga_brca_hrd,HRD_TAI,regression,772,spearman,0.6696168465646548,0.6558629293668204,0.6657403371475036,0.6671488884555391,0.0014085513080355216,-0.02186544267627254,0.030240965584517082,0.8855721393034826,0.9475876431794515
tcga_brca_hrd,HRD_Score,regression,772,spearman,0.6860548883944046,0.6735743178075989,0.6851627584727358,0.6807140703683192,-0.004448688104416565,-0.029135120773151765,0.01897313462129742,0.7064676616915423,0.8257414227563481
tcga_brca_hrd,HRD_LST,regression,772,spearman,0.6754256103067854,0.6589496071315193,0.6626196674825396,0.6576198391367897,-0.004999828345749968,-0.03109470494508266,0.018351328331468877,0.6567164179104478,0.7776904948939513
tcga_brca_hrd,hrd_binary_24,binary,772,auroc,0.8276552157774819,0.8216446821313392,0.8395140189443366,0.833706315454982,-0.005807703489354665,-0.023327327307023884,0.012409318017402832,0.5472636815920398,0.7138221933809213
tcga_brca_hrd,hrd_binary_42,binary,772,auroc,0.909549839228296,0.8988531618435155,0.910032154340836,0.9031511254019292,-0.006881028938906741,-0.024416666666666635,0.01020364415862796,0.47761194029850745,0.6933076552720269
tcga_brca_hrd,hrd_binary_33,binary,772,auroc,0.8628983573221491,0.8537714866711151,0.873915737298637,0.8662504368824073,-0.007665300416229703,-0.021487068280748537,0.007758435802115922,0.30845771144278605,0.6309362279511533
tcga_brca_hrd,HRD_LOH,regression,772,spearman,0.5575398221299555,0.5440421038017121,0.5652355111878485,0.547233808155896,-0.018001703031952587,-0.053141849383195314,0.012749538043315285,0.4079601990049751,0.6799336650082919
tcga_brca_hrd,parpi7_binary,binary,772,auroc,0.6360784666876792,0.5730259504405121,0.6684827472346047,0.5947888993951401,-0.07369384783946453,-0.13159604964954164,-0.0037203386014678782,0.04975124378109453,0.1865671641791045
tcga_brca_hrd,PARPi7,regression,772,spearman,0.2251481168032955,0.134252659342244,0.1935349425667027,0.117778995314577,-0.0757559472521257,-0.13048287800725988,-0.01754507692029133,0.03980099502487562,0.15574302401038287
tcga_mc3,mmr_gene_mutated,binary,10224,auroc,0.8507611409991566,0.8555947491723181,0.8466973783808793,0.8541642394881256,0.007466861107246259,-0.0021760723579924836,0.016616543349353453,0.13930348258706468,0.3917910447761194
tcga_mc3,brca_gene_mutated,binary,10224,auroc,0.813907651351789,0.8149654429078604,0.8139610081583128,0.8170576289176772,0.0030966207593643436,-0.007075595823617387,0.01296582168412053,0.4577114427860697,0.689992659652557
tcga_mc3,os_event,binary,10139,auroc,0.6527062057533128,0.6421318189204931,0.6482431313605257,0.6499666005701172,0.0017234692095915438,-0.005528581818618339,0.010366962953015226,0.5472636815920398,0.7138221933809213
tcga_mc3,smoking_ever,binary,2798,auroc,0.7783352023827036,0.773886737518603,0.7713340682167995,0.7710678799248815,-0.00026618829191804583,-0.012319073155292843,0.011842799893269834,0.9950248756218906,0.9950248756218906
tcga_mc3,pole_pold1_mutated,binary,10224,auroc,0.8370088161422514,0.8328581790819145,0.8380709223223638,0.83278555860989,-0.0052853637124737896,-0.01581438309036113,0.007063444616933354,0.5174129353233831,0.7138221933809213
tcga_mc3,high_purity,binary,9591,auroc,0.6309277009360623,0.6292491615784637,0.640820305211275,0.6353029856618674,-0.0055173195494075955,-0.013049204925072463,0.0036665773507314897,0.14925373134328357,0.3950834064969271
tcga_mc3,high_stage,binary,6404,auroc,0.6297503548723297,0.6144280793985935,0.6271815297210974,0.6189014007923878,-0.008280128928709662,-0.018550249380852694,0.001737728617322933,0.10945273631840796,0.3396809058157489
tcga_mc3,cancer_type_top10,multiclass,5462,auroc,0.923134774340363,0.9123345851238804,0.9239815244993894,0.9119860408656112,-0.011995483633778226,-0.013996018828592582,-0.009444936794909807,0.009950248756218905,0.04975124378109453
