modality,representation,algorithm,patient,mutation_burden,cosine,mae,n_active_truth_signatures,n_active_predicted_signatures
SBS,standard,NNLS,SP117698,41.0,0.0249267031391588,0.0190425927920858,2,14
SBS,standard,NNLS,SP117700,26.0,0.0112781574737514,0.0201241980932968,3,11
SBS,standard,NNLS,SP117709,24.0,0.0571705732839405,0.017451030897611,5,15
SBS,standard,NNLS,SP117710,41.0,0.1425754239576258,0.0167167916416301,4,17
SBS,standard,NNLS,SP117712,114.0,0.3347389971441051,0.0142104329889547,4,18
SBS,standard,NNLS,SP117722,52.0,0.6766065452153174,0.0134667486891901,2,15
SBS,standard,NNLS,SP117724,32.0,0.0476951425005668,0.0192811788618828,4,17
SBS,standard,NNLS,SP117728,25.0,0.0391847972035802,0.0186297798195028,5,11
SBS,standard,NNLS,SP117745,59.0,0.418613248051336,0.0145190070353333,5,21
SBS,standard,NNLS,SP117758,36.0,0.0043156536871274,0.019969296000969,6,22
SBS,standard,NNLS,SP117759,132.0,0.5452897296508262,0.0137022789220298,5,21
SBS,standard,NNLS,SP117760,68.0,0.1309942663194066,0.0175408930338063,4,15
SBS,standard,NNLS,SP117775,136.0,0.3227830493048992,0.0149865433657102,4,20
SBS,standard,NNLS,SP117778,45.0,0.0252457693118427,0.0191262889837542,5,18
SBS,standard,NNLS,SP117779,72.0,0.180660560442729,0.0166463895412733,5,16
SBS,standard,NNLS,SP117785,45.0,0.1542236483272039,0.0173104375830576,4,19
SBS,standard,NNLS,SP117796,14.0,0.0029478690867494,0.0204245465584611,5,9
SBS,standard,NNLS,SP117800,47.0,0.0932654219239551,0.0178475301248953,5,17
SBS,standard,NNLS,SP117812,16.0,0.0827097409980329,0.0175517940833545,3,11
SBS,standard,NNLS,SP117834,56.0,0.0541303479236397,0.0188703270628236,5,20
SBS,standard,NNLS,SP117840,26.0,0.0458139932447155,0.0189805745575635,4,17
SBS,standard,NNLS,SP117850,29.0,0.1401474844562306,0.0166717032799938,4,12
SBS,standard,NNLS,SP117878,48.0,0.0689053341478246,0.0188423534754136,3,18
SBS,standard,NNLS,SP117882,27.0,0.0916485846837452,0.0166769236666895,5,13
SBS,standard,NNLS,SP117887,94.0,0.0480384851265505,0.0181007970198388,5,19
SBS,standard,NNLS,SP117901,80.0,0.1772043623223181,0.0158193763651897,4,17
SBS,standard,NNLS,SP117908,49.0,0.1833006698344731,0.0162840649980046,5,15
SBS,standard,NNLS,SP117911,74.0,0.2556107119750023,0.015961678642091,3,12
SBS,standard,NNLS,SP117919,91.0,0.0432028561322511,0.0176435959009611,5,23
SBS,standard,NNLS,SP117930,110.0,0.1612133460092253,0.0168481834964609,5,18
SBS,standard,NNLS,SP117932,195.0,0.5983008297726511,0.009543123090441,4,16
SBS,standard,NNLS,SP117933,10.0,0.0374672918380119,0.0183342864146343,2,9
SBS,standard,NNLS,SP117944,78.0,0.1299310491472263,0.0164150064831792,5,17
SBS,standard,NNLS,SP117949,85.0,0.4287248429340494,0.0127002259026918,4,19
SBS,standard,NNLS,SP117951,9.0,0.0,0.0206185567010309,4,11
SBS,standard,NNLS,SP117972,34.0,0.3185878743546114,0.01600473032172,5,13
SBS,standard,NNLS,SP117974,79.0,0.2694705764039994,0.0153822978001892,3,12
SBS,standard,NNLS,SP117980,53.0,0.0067434696561764,0.0200919929806198,4,21
SBS,standard,NNLS,SP117981,43.0,0.0,0.0206185567010309,3,16
SBS,standard,NNLS,SP117983,41.0,0.1219956737630984,0.0170253763899483,5,16
SBS,standard,NNLS,SP117984,23.0,0.0142372185927235,0.0195757553856558,2,19
SBS,standard,NNLS,SP118012,28.0,0.0304949417707952,0.019082243259799,5,19
SBS,standard,NNLS,SP118015,80.0,0.1738759211503407,0.01663430719206,5,20
SBS,standard,NNLS,SP118038,94.0,0.6280255434012629,0.0110581249762465,4,13
SBS,standard,NNLS,SP118043,54.0,0.3800907552232482,0.0148649698856209,4,16
SBS,standard,NNLS,SP118044,3.0,0.0,0.0206185567010309,3,6
SBS,standard,NNLS,SP118046,51.0,0.6220743690483588,0.0108033284110956,4,16
SBS,standard,NNLS,SP118048,143.0,0.4116374777808453,0.0130751063967041,3,16
SBS,standard,NNLS,SP118073,29.0,0.1433718237344546,0.0164992044637213,3,13
SBS,standard,NNLS,SP118074,68.0,0.0645751026913678,0.0189476763968171,6,18
SBS,standard,NNLS,SP118077,34.0,0.1737660490050276,0.0159204406627087,5,13
SBS,standard,NNLS,SP11808,59.0,0.3689772132871934,0.0161170835430439,6,19
SBS,standard,NNLS,SP118083,169.0,0.0225833017172501,0.0189648989165999,5,24
SBS,standard,NNLS,SP11878,115.0,0.3050229097512554,0.0145942904116989,5,25
SBS,standard,NNLS,SP11948,88.0,0.0279264979751119,0.0189117832171184,5,20
SBS,standard,NNLS,SP119755,195.0,0.3124143287954518,0.0155441660760884,3,21
SBS,standard,NNLS,SP12049,184.0,0.0003940290291766,0.0205291118653499,6,22
SBS,standard,NNLS,SP120755,23.0,0.0,0.0206185567010309,2,16
SBS,standard,NNLS,SP120767,43.0,0.2893766688451759,0.0133928752564634,4,13
SBS,standard,NNLS,SP121761,68.0,0.0004418317772112,0.0206014380404217,3,21
SBS,standard,NNLS,SP121763,46.0,0.3107121839173562,0.0134841661957494,4,17
SBS,standard,NNLS,SP121774,99.0,0.1018533166740196,0.0174003934850579,5,24
SBS,standard,NNLS,SP121781,152.0,0.0716881464004628,0.0175848139675621,6,23
SBS,standard,NNLS,SP121783,59.0,0.0053154386394337,0.0199944983891338,4,21
SBS,standard,NNLS,SP121790,53.0,0.2513919250960505,0.0175302561895213,4,21
SBS,standard,NNLS,SP121808,22.0,0.3993992553672419,0.0132097606535766,4,17
SBS,standard,NNLS,SP121811,46.0,0.1753395580213203,0.0165842035716997,4,17
