benchmark,endpoint,task,representation,learner,metric,score,auroc,auprc,balanced_accuracy,accuracy,macro_f1,mae,r2,n_samples,n_classes,n_features,n_folds,folds,repeats,oof_aggregate,split_strategy,tuning,linear_solver,xgb_tree_method,delta_vs_standard,cache_key,oof_prediction_file,fold_metrics_file,optuna_trials_completed,landmark_mode,n_landmarks,base_sigma,sigma_multiplier,kernel_sigma,cache_status,optuna_study_name
kucab_damage_class,damage_class,multiclass_grouped,standard_sbs96_dbs78_id83,xgboost,macro_auroc,0.6512250266350554,,,0.2437008681545258,0.3436293436293436,0.2351008165847577,,,259,8,261,5,,,,5-fold StratifiedGroupKFold grouped by agent_core,none,,,0.0,,,,,,,,,,,
mc3_main,HRD_Score,regression,standard_sbs96_dbs78_id83,linear,spearman,0.5286534973339886,,,,,,12.869665150815342,0.3385417294140238,772,85,261,5,5.0,1.0,True,5-fold KFold,none,elastic_net_coordinate_descent_v1,,0.0,one_hot_event_inventory_mc3_main_570799e5e1c4a29dc6b74308,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,
mc3_main,HRD_Score,regression,standard_sbs96_dbs78_id83,xgboost,spearman,0.6853555252176136,,,,,,10.328477462956323,0.5745038804223328,772,85,261,5,5.0,1.0,True,5-fold KFold,none,,gpu_hist,0.0,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,
mc3_main,hrd_binary_33,binary,standard_sbs96_dbs78_id83,linear,auroc,0.7307930607187113,0.7307930607187113,0.502563914359874,0.6749753757188701,0.6917098445595855,0.6593317758742167,,,772,2,261,5,5.0,1.0,True,5-fold StratifiedKFold,none,sgd_log_loss_elasticnet_v1,,0.0,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,
mc3_main,hrd_binary_33,binary,standard_sbs96_dbs78_id83,xgboost,auroc,0.8839878626123979,0.8839878626123979,0.7830842034937354,0.8035776697486734,0.8238341968911918,0.7962617983109787,,,772,2,261,5,5.0,1.0,True,5-fold StratifiedKFold,none,,gpu_hist,0.0,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,
mc3_main,cancer_type_top10,multiclass,standard_sbs96_dbs78_id83,linear,macro_auroc,0.8764440719964023,0.8764440719964023,,0.5000233217834756,0.5067740754302453,0.522170012895552,,,5462,10,261,5,5.0,1.0,True,5-fold StratifiedKFold,none,sgd_log_loss_elasticnet_v1,,0.0,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,
mc3_main,cancer_type_top10,multiclass,standard_sbs96_dbs78_id83,xgboost,macro_auroc,0.9236815788745992,0.9236815788745992,,0.6273913203779335,0.6329183449285976,0.6355587980442847,,,5462,10,261,5,5.0,1.0,True,5-fold StratifiedKFold,none,,gpu_hist,0.0,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,
mc3_main,os_event,binary,standard_sbs96_dbs78_id83,linear,auroc,0.5799024564428746,0.5799024564428746,0.3603928987583504,0.558592227771287,0.5338790807771969,0.5227100460068618,,,10139,2,261,5,5.0,1.0,True,5-fold StratifiedKFold,none,sgd_log_loss_elasticnet_v1,,0.0,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,
mc3_main,os_event,binary,standard_sbs96_dbs78_id83,xgboost,auroc,0.6498050768599112,0.6498050768599112,0.4262154418672846,0.607149213922524,0.5562678765164217,0.5513829633110485,,,10139,2,261,5,5.0,1.0,True,5-fold StratifiedKFold,none,,gpu_hist,0.0,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,
mc3_main,HRD_Score,regression,one_hot_event_kme_oracle,linear,spearman,0.5997029914403073,,,,,,11.80147572502571,0.4388677972267757,772,85,68,5,5.0,1.0,True,5-fold KFold,optuna,elastic_net_coordinate_descent_v1,,0.0710494941063186,one_hot_event_kme_features_59d5fde3eed8e8bf06e7d41e,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,10.0,64.0,64.0,4.4721360206604,2.0,8.9442720413208,miss_created,one_hot_kme__69bf52ac36875d1dab585d08
mc3_main,HRD_Score,regression,one_hot_event_kme_oracle,xgboost,spearman,0.6789934530306153,,,,,,10.226234583039355,0.5604250687938794,772,85,132,5,5.0,1.0,True,5-fold KFold,optuna,,gpu_hist,-0.0063620721869982,one_hot_event_kme_features_624af94e39608d9a4346484b,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,10.0,128.0,128.0,4.4721360206604,0.5,2.2360680103302,miss_created,one_hot_kme__f563d8a59099588eb82fe609
mc3_main,cancer_type_top10,multiclass,one_hot_event_kme_oracle,linear,macro_auroc,0.8545936738627548,0.8545936738627548,,0.4819177462400849,0.4805931893079458,0.4937268461328316,,,5462,10,68,5,5.0,1.0,True,5-fold StratifiedKFold,optuna,sgd_log_loss_elasticnet_v1,,-0.0218503981336475,one_hot_event_kme_features_f2f3cd362d8eae1b6a66f09a,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,10.0,64.0,64.0,4.4721360206604,0.5,2.2360680103302,miss_created,one_hot_kme__5e496b1bb191f41632978f00
mc3_main,cancer_type_top10,multiclass,one_hot_event_kme_oracle,xgboost,macro_auroc,0.9064175734284684,0.9064175734284684,,0.5630498569944118,0.5699377517392896,0.5678488973909713,,,5462,10,132,5,5.0,1.0,True,5-fold StratifiedKFold,optuna,,gpu_hist,-0.0172640054461308,one_hot_event_kme_features_d43add3fd23ef111ffd5eaf2,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,10.0,128.0,128.0,4.4721360206604,1.0,4.4721360206604,miss_created,one_hot_kme__94b20701c195cfb9bac7952d
kucab_damage_class,damage_class,multiclass_grouped,one_hot_event_kme_oracle,linear,macro_auroc,0.6226565201728522,0.6226565201728522,,0.227947345824911,0.3166023166023166,0.2286790604626678,,,259,8,132,5,5.0,1.0,True,5-fold StratifiedGroupKFold grouped by agent_core,optuna,sgd_log_loss_elasticnet_v1,,0.0392393172373064,one_hot_event_kme_features_b78592624d25ab104767b531,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,10.0,128.0,128.0,4.4721360206604,4.0,17.8885440826416,miss_created,one_hot_kme__5fb81ebe7a025c8d8f07bdee
kucab_damage_class,damage_class,multiclass_grouped,one_hot_event_kme_oracle,xgboost,macro_auroc,0.656001481830023,0.656001481830023,,0.2382278049604204,0.3281853281853282,0.2397577718492108,,,259,8,132,5,5.0,1.0,True,5-fold StratifiedGroupKFold grouped by agent_core,optuna,,gpu_hist,0.0047764551949676,one_hot_event_kme_features_09f286189df69d4dfa45fb80,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,10.0,128.0,128.0,4.4721360206604,2.0,8.9442720413208,miss_created,one_hot_kme__62bca47ee6fe9f8630afd5ce
mc3_main,hrd_binary_33,binary,one_hot_event_kme_oracle,linear,auroc,0.7606281574683063,0.7606281574683063,0.5859736895274769,0.7067486416928797,0.7124352331606217,0.6854808518135171,,,772,2,132,5,5.0,1.0,True,5-fold StratifiedKFold,optuna,sgd_log_loss_elasticnet_v1,,0.0298350967495949,one_hot_event_kme_features_c64be60c54f9ed906c68c317,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,10.0,128.0,128.0,4.4721360206604,2.0,8.9442720413208,miss_created,one_hot_kme__597c93a239b35377b37fc284
mc3_main,hrd_binary_33,binary,one_hot_event_kme_oracle,xgboost,auroc,0.8635497092746163,0.8635497092746163,0.7473259969399336,0.7982794776475074,0.8147668393782384,0.7878464675349134,,,772,2,132,5,5.0,1.0,True,5-fold StratifiedKFold,optuna,,gpu_hist,-0.0204381533377816,one_hot_event_kme_features_99a7d87ae17e83536d3e551a,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,10.0,128.0,128.0,4.4721360206604,0.25,1.1180340051651,miss_created,one_hot_kme__ac665e230b0f9621e5ba6bb2
mc3_main,os_event,binary,one_hot_event_kme_oracle,linear,auroc,0.5601225006078037,0.5601225006078037,0.3374709136408881,0.54325787254609,0.5307229509813591,0.5152929400752602,,,10139,2,68,5,5.0,1.0,True,5-fold StratifiedKFold,optuna,sgd_log_loss_elasticnet_v1,,-0.0197799558350709,one_hot_event_kme_features_61b209b1a5c0ca16455e9d0a,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,10.0,64.0,64.0,4.4721360206604,4.0,17.8885440826416,miss_created,one_hot_kme__a83afde14167927671d4435b
mc3_main,os_event,binary,one_hot_event_kme_oracle,xgboost,auroc,0.6439133432279678,0.6439133432279678,0.4101536887386309,0.6119923144668998,0.5601144097050991,0.5553364029125603,,,10139,2,68,5,5.0,1.0,True,5-fold StratifiedKFold,optuna,,gpu_hist,-0.0058917336319433,one_hot_event_kme_features_f2f3cd362d8eae1b6a66f09a,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,10.0,64.0,64.0,4.4721360206604,0.5,2.2360680103302,miss_created,one_hot_kme__791f93a263665465b61239bd
