Candidate,Label,N,Mean_MAE,Median_MAE,Mean_Cosine,Top1_Process_Accuracy,Mean_Reconstruction_Error,Runtime_Sec
legacy_zero,Legacy zero padding,480,0.07921655549196821,0.08638781600004171,0.4147726260913823,0.34375,0.010296905460862938,0.040522999996028375
fractional_pad,Fractional pad sentinel,480,0.023900548259384057,0.008729895415551157,0.8916287886818428,0.8520833333333333,0.006083630787060618,0.039034499997796956
out_of_range_pad,Out-of-range pad sentinel,480,0.03451390866751918,0.013539388505500745,0.8155475806981326,0.75,0.006729777096953817,0.038316300000587944
masked_presence,Masked payload,480,0.017254902524481135,0.007215938567050511,0.9356782110710344,0.8958333333333334,0.014208516760534803,0.038509899997734465
length_code,Length-coded payload,480,0.02106960822674771,0.007856662507699912,0.9097845361849312,0.8708333333333333,0.014708542760117878,0.03776610000204528
