benchmark,endpoint,task,representation,learner,metric,score,auroc,auprc,balanced_accuracy,accuracy,macro_f1,mae,r2,n_samples,n_classes,n_features,n_folds,folds,repeats,oof_aggregate,split_strategy,tuning,experiment_id,model_family,cache_key,oof_prediction_file,fold_metrics_file,optuna_trials_completed,run_id,status,atlas_status_note,linear_solver,xgb_tree_method,runtime_seconds
mc3_main,HRD_Score,regression,standard_sbs96_id83,linear,spearman,0.5102084408630586,,,,,,17.529499443083846,-37.36470528236581,772,85,182,5,5,1,True,5-fold KFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021347Z,measured,MC3 cached SBS96+ID83 signature matrix,elastic_net_coordinate_descent_v1,,0.039
mc3_main,HRD_Score,regression,MAF_stack_only,linear,spearman,0.4646573381618634,,,,,,15.7898518532669,-0.1030400814341578,772,85,1823,5,5,1,True,5-fold KFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_maf_only_best_gene_locus_multiscale_stack_7227b5f529e2757d5f9718ef,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021347Z,measured,MC3/HRD maf_only_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack,elastic_net_coordinate_descent_v1,,4.43
mc3_main,HRD_Score,regression,signatures_plus_MAF_stack,linear,spearman,0.5623836079065417,,,,,,14.031520407434572,0.1735550834549045,772,85,2005,5,5,1,True,5-fold KFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_id_plus_best_gene_locus_multiscale_stack_6f61039a7324d547d6e57b91,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021347Z,measured,MC3/HRD id_plus_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack,elastic_net_coordinate_descent_v1,,4.727
mc3_main,hrd_binary_33,binary,burden_only,linear,auroc,0.7947725034156261,0.7947725034156261,0.5694713178935986,0.6905125027801607,0.7487046632124352,0.6949784932221064,,,772,2,3,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021347Z,measured,MC3 cached burden-only matrix,sgd_log_loss_elasticnet_v1,,0.03
mc3_main,hrd_binary_33,binary,standard_sbs96_id83,linear,auroc,0.7283941791376736,0.7283941791376736,0.5081311066569911,0.6818542878022432,0.7046632124352331,0.6694411057692308,,,772,2,182,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021347Z,measured,MC3 cached SBS96+ID83 signature matrix,sgd_log_loss_elasticnet_v1,,0.045
mc3_main,hrd_binary_33,binary,MAF_stack_only,linear,auroc,0.7308010040352048,0.7308010040352048,0.4744584306803781,0.6871445365869158,0.6968911917098446,0.6679264705882353,,,772,2,1823,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_maf_only_best_gene_locus_multiscale_stack_7227b5f529e2757d5f9718ef,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021347Z,measured,MC3/HRD maf_only_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack,sgd_log_loss_elasticnet_v1,,0.188
mc3_main,hrd_binary_33,binary,signatures_plus_MAF_stack,linear,auroc,0.753463285991167,0.753463285991167,0.5023800849553934,0.7196644743113145,0.7253886010362695,0.6986396211267502,,,772,2,2005,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_id_plus_best_gene_locus_multiscale_stack_6f61039a7324d547d6e57b91,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021347Z,measured,MC3/HRD id_plus_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack,sgd_log_loss_elasticnet_v1,,0.201
mc3_main,cancer_type_top10,multiclass,burden_only,linear,macro_auroc,0.795931203233786,0.795931203233786,,0.3515446237045572,0.332845111680703,0.3140616575251484,,,5462,10,3,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021347Z,measured,MC3 cached burden-only matrix,sgd_log_loss_elasticnet_v1,,0.303
mc3_main,cancer_type_top10,multiclass,standard_sbs96_id83,linear,macro_auroc,0.8695577850713951,0.8695577850713951,,0.5052453662771531,0.5087879897473453,0.5275353912281303,,,5462,10,182,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021347Z,measured,MC3 cached SBS96+ID83 signature matrix,sgd_log_loss_elasticnet_v1,,0.483
mc3_main,cancer_type_top10,multiclass,MAF_stack_only,linear,macro_auroc,0.8462373008842148,0.8462373008842148,,0.5460893122600691,0.5682900036616624,0.584595888992584,,,5462,10,1823,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_maf_only_best_gene_locus_multiscale_stack_7227b5f529e2757d5f9718ef,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021555Z,measured,MC3/HRD maf_only_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack,sgd_log_loss_elasticnet_v1,,2.637
mc3_main,cancer_type_top10,multiclass,signatures_plus_MAF_stack,linear,macro_auroc,0.8706765291789296,0.8706765291789296,,0.5969188387516084,0.6186378615891615,0.6420544864452679,,,5462,10,2005,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_id_plus_best_gene_locus_multiscale_stack_6f61039a7324d547d6e57b91,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021555Z,measured,MC3/HRD id_plus_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack,sgd_log_loss_elasticnet_v1,,2.76
mc3_main,os_event,binary,burden_only,linear,auroc,0.5907852108863453,0.5907852108863453,0.353934694553594,0.5713625858963534,0.566229411184535,0.5465345487108133,,,10139,2,3,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021555Z,measured,MC3 cached burden-only matrix,sgd_log_loss_elasticnet_v1,,0.082
mc3_main,os_event,binary,burden_only,xgboost,auroc,0.6233497466278577,0.6233497466278577,0.3809783409792693,0.60219579724146,0.5347667422822764,0.5330988039538589,,,10139,2,3,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,XGBoost,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021555Z,measured,MC3 cached burden-only matrix,,gpu_hist,1.262
mc3_main,os_event,binary,standard_sbs96_id83,linear,auroc,0.57397369121595,0.57397369121595,0.3499838924309137,0.5524209136127318,0.5420652924351514,0.525362350805038,,,10139,2,182,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021555Z,measured,MC3 cached SBS96+ID83 signature matrix,sgd_log_loss_elasticnet_v1,,0.91
mc3_main,os_event,binary,standard_sbs96_id83,xgboost,auroc,0.6516435111943052,0.6516435111943052,0.4255618862122393,0.6119756651350807,0.5653417496794556,0.5592912066881461,,,10139,2,182,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,XGBoost,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021555Z,measured,MC3 cached SBS96+ID83 signature matrix,,gpu_hist,1.529
mc3_main,os_event,binary,MAF_stack_only,linear,auroc,0.5702420194508167,0.5702420194508167,0.3611653035078796,0.5555177351339101,0.5904921589900385,0.5482923642681536,,,10139,2,1823,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_maf_only_best_gene_locus_multiscale_stack_7227b5f529e2757d5f9718ef,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021555Z,measured,MC3/HRD maf_only_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack,sgd_log_loss_elasticnet_v1,,3.445
mc3_main,os_event,binary,signatures_plus_MAF_stack,linear,auroc,0.5763473546204163,0.5763473546204163,0.3675530054233958,0.5636826636439236,0.5971989348061939,0.5558673251368362,,,10139,2,2005,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_mc3_id_plus_best_gene_locus_multiscale_stack_6f61039a7324d547d6e57b91,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021555Z,measured,MC3/HRD id_plus_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack,sgd_log_loss_elasticnet_v1,,4.353
kucab_damage_class,damage_class,multiclass_grouped,burden_only,linear,macro_auroc,0.4594700024996611,0.4594700024996611,,0.1075708701484876,0.1351351351351351,0.1025871732039962,,,259,8,1,5,5,1,True,5-fold StratifiedGroupKFold grouped by agent_core,none,main_manuscript_complete_panel,elastic_net,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021807Z,measured,Kucab raw-event spectra/burden from FASTA-validated event inventory,sgd_log_loss_elasticnet_v1,,0.23
kucab_damage_class,damage_class,multiclass_grouped,burden_only,xgboost,macro_auroc,0.4587688301509167,0.4587688301509167,,0.1697383567680661,0.2548262548262548,0.1352033416395118,,,259,8,1,5,5,1,True,5-fold StratifiedGroupKFold grouped by agent_core,none,main_manuscript_complete_panel,XGBoost,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021807Z,measured,Kucab raw-event spectra/burden from FASTA-validated event inventory,,gpu_hist,6.687
