modality,representation,algorithm,n_patients,mean_cosine,median_cosine,mean_mae,median_mae,mean_active_truth_signatures,mean_active_predicted_signatures,feature_dimension,n_signatures,n_matched_channels,n_encoded_channels
DBS,locked_uga,NNLS,860,0.41264492222589266,0.3091706767149846,0.05977797381910767,0.06657805168507225,2.4976744186046513,2.8209302325581396,70,22,78,78
DBS,standard,NNLS,860,0.38749581349581524,0.29347163846021945,0.062367700461508566,0.06819154892113395,2.4976744186046513,3.019767441860465,78,22,78,78
ID,locked_uga,NNLS,2287,0.22363881344177472,0.114533994960487,0.06620996919225933,0.0702814814814814,3.874508089199825,3.595540008745081,70,25,83,83
ID,standard,NNLS,2287,0.21597539155645834,0.1063554774115995,0.06700995872183156,0.0710419906687402,3.874508089199825,4.731963270660254,83,25,83,83
SBS,locked_uga,NNLS,2683,0.21980566202359794,0.1289637670796743,0.016930641615841024,0.0176731598574035,3.506895266492732,11.712262392843831,70,97,96,96
SBS,standard,NNLS,2683,0.20958802320961095,0.1153155274737938,0.017199281406730643,0.0179024059423007,3.506895266492732,16.918747670518076,96,97,96,96
