benchmark,endpoint,representation,learner,repeat,fold,metric,score,n_test
mc3_main,hrd_binary_33,one_hot_event_kme,xgboost,1,4,auroc,0.8757208192483595,154
mc3_main,hrd_binary_33,one_hot_event_kme,xgboost,1,5,auroc,0.825611453569298,154
mc3_main,cancer_type_top10,burden_only,linear,1,1,macro_auroc,0.7488233576547108,1093
mc3_main,cancer_type_top10,burden_only,linear,1,2,macro_auroc,0.7535008761724133,1093
mc3_main,cancer_type_top10,burden_only,linear,1,3,macro_auroc,0.7533372539250348,1092
mc3_main,cancer_type_top10,burden_only,linear,1,4,macro_auroc,0.77619021691101,1092
mc3_main,cancer_type_top10,burden_only,linear,1,5,macro_auroc,0.7489237721024627,1092
mc3_main,cancer_type_top10,standard_sbs96_dbs78_id83,linear,1,1,macro_auroc,0.8907020801767389,1093
mc3_main,cancer_type_top10,standard_sbs96_dbs78_id83,linear,1,2,macro_auroc,0.8767648034464532,1093
mc3_main,cancer_type_top10,standard_sbs96_dbs78_id83,linear,1,3,macro_auroc,0.8855153324328299,1092
mc3_main,cancer_type_top10,standard_sbs96_dbs78_id83,linear,1,4,macro_auroc,0.8859768793170175,1092
mc3_main,cancer_type_top10,standard_sbs96_dbs78_id83,linear,1,5,macro_auroc,0.87578528949727,1092
mc3_main,cancer_type_top10,one_hot_event_kme,linear,1,1,macro_auroc,0.8599789322348901,1093
mc3_main,cancer_type_top10,one_hot_event_kme,linear,1,2,macro_auroc,0.8583972120122629,1093
mc3_main,cancer_type_top10,one_hot_event_kme,linear,1,3,macro_auroc,0.8502738482000126,1092
mc3_main,cancer_type_top10,one_hot_event_kme,linear,1,4,macro_auroc,0.8747915387722077,1092
mc3_main,cancer_type_top10,one_hot_event_kme,linear,1,5,macro_auroc,0.84352314963749,1092
mc3_main,cancer_type_top10,burden_only,xgboost,1,1,macro_auroc,0.7870831937720363,1093
mc3_main,cancer_type_top10,burden_only,xgboost,1,2,macro_auroc,0.7972997654938103,1093
mc3_main,cancer_type_top10,burden_only,xgboost,1,3,macro_auroc,0.80342591550845,1092
mc3_main,cancer_type_top10,burden_only,xgboost,1,4,macro_auroc,0.8035070997696943,1092
mc3_main,cancer_type_top10,burden_only,xgboost,1,5,macro_auroc,0.7905329145041398,1092
mc3_main,cancer_type_top10,standard_sbs96_dbs78_id83,xgboost,1,1,macro_auroc,0.9201076715171931,1093
mc3_main,cancer_type_top10,standard_sbs96_dbs78_id83,xgboost,1,2,macro_auroc,0.9270107419971524,1093
mc3_main,cancer_type_top10,standard_sbs96_dbs78_id83,xgboost,1,3,macro_auroc,0.9308477299995307,1092
mc3_main,cancer_type_top10,standard_sbs96_dbs78_id83,xgboost,1,4,macro_auroc,0.9249955331079759,1092
mc3_main,cancer_type_top10,standard_sbs96_dbs78_id83,xgboost,1,5,macro_auroc,0.9175268887453241,1092
mc3_main,cancer_type_top10,one_hot_event_kme,xgboost,1,1,macro_auroc,0.8972856159290827,1093
mc3_main,cancer_type_top10,one_hot_event_kme,xgboost,1,2,macro_auroc,0.9077219136638774,1093
mc3_main,cancer_type_top10,one_hot_event_kme,xgboost,1,3,macro_auroc,0.9149994006948772,1092
mc3_main,cancer_type_top10,one_hot_event_kme,xgboost,1,4,macro_auroc,0.9080380726039676,1092
mc3_main,cancer_type_top10,one_hot_event_kme,xgboost,1,5,macro_auroc,0.89875279576743,1092
mc3_main,os_event,burden_only,linear,1,1,auroc,0.5972672867546326,2028
mc3_main,os_event,burden_only,linear,1,2,auroc,0.5967362405822281,2028
mc3_main,os_event,burden_only,linear,1,3,auroc,0.6074544461955236,2028
mc3_main,os_event,burden_only,linear,1,4,auroc,0.5788111711876833,2028
mc3_main,os_event,burden_only,linear,1,5,auroc,0.5761921957035101,2027
mc3_main,os_event,standard_sbs96_dbs78_id83,linear,1,1,auroc,0.6199111413258072,2028
mc3_main,os_event,standard_sbs96_dbs78_id83,linear,1,2,auroc,0.579194549451958,2028
mc3_main,os_event,standard_sbs96_dbs78_id83,linear,1,3,auroc,0.563869747192265,2028
mc3_main,os_event,standard_sbs96_dbs78_id83,linear,1,4,auroc,0.559447168255132,2028
mc3_main,os_event,standard_sbs96_dbs78_id83,linear,1,5,auroc,0.5833350528463672,2027
mc3_main,os_event,one_hot_event_kme,linear,1,1,auroc,0.5661661785390966,2028
mc3_main,os_event,one_hot_event_kme,linear,1,2,auroc,0.5117728587337067,2028
mc3_main,os_event,one_hot_event_kme,linear,1,3,auroc,0.5734451734884355,2028
mc3_main,os_event,one_hot_event_kme,linear,1,4,auroc,0.5285809200879765,2028
mc3_main,os_event,one_hot_event_kme,linear,1,5,auroc,0.5695577412476787,2027
mc3_main,os_event,burden_only,xgboost,1,1,auroc,0.6043837632632787,2028
mc3_main,os_event,burden_only,xgboost,1,2,auroc,0.6149634848531669,2028
mc3_main,os_event,burden_only,xgboost,1,3,auroc,0.6145079754208026,2028
mc3_main,os_event,burden_only,xgboost,1,4,auroc,0.6240137005131965,2028
mc3_main,os_event,burden_only,xgboost,1,5,auroc,0.6031914161909347,2027
mc3_main,os_event,standard_sbs96_dbs78_id83,xgboost,1,1,auroc,0.6494912142759861,2028
mc3_main,os_event,standard_sbs96_dbs78_id83,xgboost,1,2,auroc,0.6573601969448821,2028
mc3_main,os_event,standard_sbs96_dbs78_id83,xgboost,1,3,auroc,0.6427838951092251,2028
mc3_main,os_event,standard_sbs96_dbs78_id83,xgboost,1,4,auroc,0.6557133201979473,2028
mc3_main,os_event,standard_sbs96_dbs78_id83,xgboost,1,5,auroc,0.6442138386408969,2027
mc3_main,os_event,one_hot_event_kme,xgboost,1,1,auroc,0.6397292351218373,2028
mc3_main,os_event,one_hot_event_kme,xgboost,1,2,auroc,0.6342797171263536,2028
mc3_main,os_event,one_hot_event_kme,xgboost,1,3,auroc,0.6382659969075716,2028
mc3_main,os_event,one_hot_event_kme,xgboost,1,4,auroc,0.6536668346774193,2028
mc3_main,os_event,one_hot_event_kme,xgboost,1,5,auroc,0.6391722264254763,2027
kucab_damage_class,damage_class,burden_only,linear,1,1,macro_auroc,0.6002327264807217,45
kucab_damage_class,damage_class,burden_only,linear,1,2,macro_auroc,0.5715737779637968,53
kucab_damage_class,damage_class,burden_only,linear,1,3,macro_auroc,0.4773438352522842,49
kucab_damage_class,damage_class,burden_only,linear,1,4,macro_auroc,0.6177085414585415,59
kucab_damage_class,damage_class,burden_only,linear,1,5,macro_auroc,0.4851677717154829,53
kucab_damage_class,damage_class,one_hot_event_kme,linear,1,1,macro_auroc,0.5155784010986497,45
kucab_damage_class,damage_class,one_hot_event_kme,linear,1,2,macro_auroc,0.6283115743073503,53
kucab_damage_class,damage_class,one_hot_event_kme,linear,1,3,macro_auroc,0.5924851450690173,49
kucab_damage_class,damage_class,one_hot_event_kme,linear,1,4,macro_auroc,0.6300645188145187,59
kucab_damage_class,damage_class,one_hot_event_kme,linear,1,5,macro_auroc,0.475510428172414,53
kucab_damage_class,damage_class,burden_only,xgboost,1,1,macro_auroc,0.4618408978747325,53
kucab_damage_class,damage_class,burden_only,xgboost,1,2,macro_auroc,0.6935542997002447,49
kucab_damage_class,damage_class,burden_only,xgboost,1,3,macro_auroc,0.6009616609076505,63
kucab_damage_class,damage_class,burden_only,xgboost,1,4,macro_auroc,0.6787267637845611,50
kucab_damage_class,damage_class,burden_only,xgboost,1,5,macro_auroc,0.5475264349213784,44
kucab_damage_class,damage_class,one_hot_event_kme,xgboost,1,1,macro_auroc,0.7595494857712902,53
kucab_damage_class,damage_class,one_hot_event_kme,xgboost,1,2,macro_auroc,0.7408264811300865,49
kucab_damage_class,damage_class,one_hot_event_kme,xgboost,1,3,macro_auroc,0.6506599851616496,63
kucab_damage_class,damage_class,one_hot_event_kme,xgboost,1,4,macro_auroc,0.7016459286997839,50
kucab_damage_class,damage_class,one_hot_event_kme,xgboost,1,5,macro_auroc,0.7025382983772022,44
