spearman	pearson	r2	mae	repeat	fold	n_train	n_test	suite	subset	endpoint	task	model	model_label	auroc	auprc	balanced_acc	brier
0.5116105435338864	0.4828337707081922	0.2176951818607534	3.878214680763983	1	1	617	155	main	all	HRD_LOH	regression	burden_only	Burden only				
0.4600090664054802	0.4505958298555197	0.1252989548392735	3.632057556029289	1	2	617	155	main	all	HRD_LOH	regression	burden_only	Burden only				
0.4944200684015409	0.4840919390610031	0.198529948566984	3.5798239522166067	1	3	618	154	main	all	HRD_LOH	regression	burden_only	Burden only				
0.5105867216719001	0.5089053798839287	0.250811834423817	3.4956631397272084	1	4	618	154	main	all	HRD_LOH	regression	burden_only	Burden only				
0.5898633426361733	0.6004178157162461	0.3542755183604329	3.493825824229748	1	5	618	154	main	all	HRD_LOH	regression	burden_only	Burden only				
0.5484135594467725	0.5542132465519121	0.3057031224248151	3.678820690031975	1	1	617	155	main	all	HRD_LOH	regression	locked_uga_sbs	Locked UGA SBS96				
0.5511477930557951	0.5709543028108932	0.3070079019153876	3.245139711133896	1	2	617	155	main	all	HRD_LOH	regression	locked_uga_sbs	Locked UGA SBS96				
0.4224769893684728	0.4968423389533374	0.2188188947296933	3.519683302222908	1	3	618	154	main	all	HRD_LOH	regression	locked_uga_sbs	Locked UGA SBS96				
0.5264074311403586	0.5589784921915578	0.3044592286397619	3.646724956376212	1	4	618	154	main	all	HRD_LOH	regression	locked_uga_sbs	Locked UGA SBS96				
0.6007397669102327	0.6874072290420461	0.4524511985191388	3.1103011199406216	1	5	618	154	main	all	HRD_LOH	regression	locked_uga_sbs	Locked UGA SBS96				
0.563190295646704	0.641617951649986	0.4098644691945597	3.4431925927439044	1	1	617	155	main	all	HRD_LOH	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.469129632668012	0.5118001562713859	0.1978933748664697	3.731313428571147	1	2	617	155	main	all	HRD_LOH	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.4796224382785773	0.6007905513584968	0.357321877719871	3.247356413246749	1	3	618	154	main	all	HRD_LOH	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.551163644470907	0.6545887933196405	0.4151304978220906	3.317395728903932	1	4	618	154	main	all	HRD_LOH	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.5392339758991418	0.6074905996473631	0.3688708943345163	3.236222853908291	1	5	618	154	main	all	HRD_LOH	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.5081240893144543	0.6544495195260361	0.4267561446510249	3.286345209613923	1	1	617	155	main	all	HRD_LOH	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.5535307699606102	0.5955565919822384	0.346599611668726	3.521894710294662	1	2	617	155	main	all	HRD_LOH	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.5338351342190636	0.5853106167701427	0.3339683168772892	3.2587595063370545	1	3	618	154	main	all	HRD_LOH	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.5671202313861804	0.6467243365153753	0.4007727514684034	3.301186914567824	1	4	618	154	main	all	HRD_LOH	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.5862408202043351	0.6545332979845059	0.3835213995227947	3.207666217506706	1	5	618	154	main	all	HRD_LOH	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.5866763662621468	0.6359860826646453	0.4025766006351313	3.1033524282516973	1	1	617	155	main	all	HRD_LOH	regression	standard_sbs	Standard SBS96				
0.427618762500918	0.4835196966436	0.1280599853799969	3.410488176345825	1	2	617	155	main	all	HRD_LOH	regression	standard_sbs	Standard SBS96				
0.6461621798357833	0.6758037137556054	0.4524769511230632	3.361273892514117	1	3	618	154	main	all	HRD_LOH	regression	standard_sbs	Standard SBS96				
0.5527507227974742	0.6509423961398441	0.4220530002532677	3.427474227818576	1	4	618	154	main	all	HRD_LOH	regression	standard_sbs	Standard SBS96				
0.6153466250093098	0.6541552391111891	0.4248963326970294	3.392478126984138	1	5	618	154	main	all	HRD_LOH	regression	standard_sbs	Standard SBS96				
0.628716322641772	0.7141256338061087	0.5040273750459003	3.120468856442359	1	1	617	155	main	all	HRD_LOH	regression	standard_sbs_id	Standard SBS96+ID83				
0.5104451052140888	0.5855384757447485	0.3418880869483075	3.4544818939701205	1	2	617	155	main	all	HRD_LOH	regression	standard_sbs_id	Standard SBS96+ID83				
0.5770776255417479	0.6079868744056546	0.3663721664396158	3.3931961229869296	1	3	618	154	main	all	HRD_LOH	regression	standard_sbs_id	Standard SBS96+ID83				
0.6051273496441589	0.6745223253115645	0.4519149955652242	3.1042834055888187	1	4	618	154	main	all	HRD_LOH	regression	standard_sbs_id	Standard SBS96+ID83				
0.6029721353914511	0.6611936276610905	0.4364668382403167	3.022040252561693	1	5	618	154	main	all	HRD_LOH	regression	standard_sbs_id	Standard SBS96+ID83				
0.6499127444347497	0.6756571032066488	0.4551126376538583	4.432317096956314	1	1	617	155	main	all	HRD_LST	regression	burden_only	Burden only				
0.5627358754218929	0.5544179800426373	0.245975551728147	4.49019362541937	1	2	617	155	main	all	HRD_LST	regression	burden_only	Burden only				
0.5968709114564015	0.6546535847403795	0.4239428629787557	4.692358791054069	1	3	618	154	main	all	HRD_LST	regression	burden_only	Burden only				
0.5305352513643883	0.5258247991996076	0.2432482490603599	5.20182110427262	1	4	618	154	main	all	HRD_LST	regression	burden_only	Burden only				
0.6441085699577029	0.711143461075433	0.5009648255185429	4.876814188895287	1	5	618	154	main	all	HRD_LST	regression	burden_only	Burden only				
0.5930880501821237	0.7234409186998175	0.5228227048870484	4.069307970231579	1	1	617	155	main	all	HRD_LST	regression	locked_uga_sbs	Locked UGA SBS96				
0.6133576610862015	0.6810284892780561	0.4530682899101187	4.427131314431468	1	2	617	155	main	all	HRD_LST	regression	locked_uga_sbs	Locked UGA SBS96				
0.711745814274499	0.7946300787208534	0.629251389664178	4.039547737542685	1	3	618	154	main	all	HRD_LST	regression	locked_uga_sbs	Locked UGA SBS96				
0.6144689517324727	0.7632292742225815	0.5789119784726282	4.060049230402166	1	4	618	154	main	all	HRD_LST	regression	locked_uga_sbs	Locked UGA SBS96				
0.6524318816595825	0.7620243369028477	0.5697964648970792	4.136854939646535	1	5	618	154	main	all	HRD_LST	regression	locked_uga_sbs	Locked UGA SBS96				
0.5357856095244624	0.7350546558524602	0.5372185238597335	4.012768111690399	1	1	617	155	main	all	HRD_LST	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.6125731341606788	0.7285784181308935	0.5213313222384612	4.5346083302651685	1	2	617	155	main	all	HRD_LST	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.5645100243630379	0.7482485627457016	0.5485356446733564	4.0187733204333815	1	3	618	154	main	all	HRD_LST	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.6467296144816191	0.7661273579715019	0.5853671485626953	4.374918482520363	1	4	618	154	main	all	HRD_LST	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.7062597409120052	0.81682037132075	0.6599075978859712	3.5712985558943315	1	5	618	154	main	all	HRD_LST	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.7493503747266037	0.8285960588600629	0.6820191993132365	3.968838420990975	1	1	617	155	main	all	HRD_LST	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.6822280875952594	0.8339397511629965	0.6940710759418635	3.653930054941485	1	2	617	155	main	all	HRD_LST	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.5962877894815365	0.6576507273405647	0.4161254550889399	4.38846856587893	1	3	618	154	main	all	HRD_LST	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.5626617805957127	0.6917736615461337	0.4723537387418954	3.891841269158698	1	4	618	154	main	all	HRD_LST	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.6213183933992967	0.7811787366336738	0.608198007052071	3.9457511747038208	1	5	618	154	main	all	HRD_LST	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.6672915766356838	0.7804984091968175	0.6072145007958769	3.7764948998728105	1	1	617	155	main	all	HRD_LST	regression	standard_sbs	Standard SBS96				
0.7016085867241635	0.7687223398895152	0.590887642319564	4.143023134046985	1	2	617	155	main	all	HRD_LST	regression	standard_sbs	Standard SBS96				
0.6398100613404794	0.7476507640925465	0.5560019778229284	4.123249304759038	1	3	618	154	main	all	HRD_LST	regression	standard_sbs	Standard SBS96				
0.6705244396161348	0.822413916517856	0.6511080850599014	3.672474938553649	1	4	618	154	main	all	HRD_LST	regression	standard_sbs	Standard SBS96				
0.6911796362412571	0.7911524683840353	0.6246808553401156	3.8707374380780495	1	5	618	154	main	all	HRD_LST	regression	standard_sbs	Standard SBS96				
0.7366446711958711	0.7931535666837161	0.6072904317915814	4.197886786922332	1	1	617	155	main	all	HRD_LST	regression	standard_sbs_id	Standard SBS96+ID83				
0.6108277548833424	0.7425743460710955	0.5465071693218926	4.02946568458311	1	2	617	155	main	all	HRD_LST	regression	standard_sbs_id	Standard SBS96+ID83				
0.6576865576098166	0.7903213544364006	0.611995398142074	3.5530491277769016	1	3	618	154	main	all	HRD_LST	regression	standard_sbs_id	Standard SBS96+ID83				
0.7070690570763852	0.791998425256207	0.6217816006225095	4.036205966751297	1	4	618	154	main	all	HRD_LST	regression	standard_sbs_id	Standard SBS96+ID83				
0.6756996417210378	0.7941322019583301	0.6298738486467541	4.042601467727066	1	5	618	154	main	all	HRD_LST	regression	standard_sbs_id	Standard SBS96+ID83				
0.6447250859908622	0.6848056982037489	0.4678994365369798	12.81847237002465	1	1	617	155	main	all	HRD_Score	regression	burden_only	Burden only				
0.6080097616662207	0.6506591668514079	0.4169172013917717	12.50376272509175	1	2	617	155	main	all	HRD_Score	regression	burden_only	Burden only				
0.6377251401295254	0.6424114476760155	0.3961010339915708	11.535737130549046	1	3	618	154	main	all	HRD_Score	regression	burden_only	Burden only				
0.577074737542927	0.5928913205058994	0.3123287898589993	10.845783691901666	1	4	618	154	main	all	HRD_Score	regression	burden_only	Burden only				
0.6584224359253174	0.657153654077923	0.4261228649694984	10.887640302831477	1	5	618	154	main	all	HRD_Score	regression	burden_only	Burden only				
0.6600597883942939	0.7431304406970656	0.5325341482420833	10.935595389335386	1	1	617	155	main	all	HRD_Score	regression	locked_uga_sbs	Locked UGA SBS96				
0.6369377618772913	0.7258785013905309	0.5065295534861087	10.151297027834	1	2	617	155	main	all	HRD_Score	regression	locked_uga_sbs	Locked UGA SBS96				
0.6201600183911391	0.7083734956050931	0.5017745621773992	10.35612134809618	1	3	618	154	main	all	HRD_Score	regression	locked_uga_sbs	Locked UGA SBS96				
0.7241309979837321	0.80321014998833	0.6182306246943241	10.634291079137231	1	4	618	154	main	all	HRD_Score	regression	locked_uga_sbs	Locked UGA SBS96				
0.6793388457896812	0.7322859073318437	0.5194832831797749	10.311895345712635	1	5	618	154	main	all	HRD_Score	regression	locked_uga_sbs	Locked UGA SBS96				
0.662760727076735	0.6774418995622421	0.454812816995087	10.35113448481406	1	1	617	155	main	all	HRD_Score	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.7038178825797153	0.7883940203684887	0.6215059596279161	9.869672393798828	1	2	617	155	main	all	HRD_Score	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.6893012946598097	0.7700122816499605	0.5915317011945378	10.720160781563102	1	3	618	154	main	all	HRD_Score	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.6196415872750037	0.7471956701160806	0.5524992327376539	10.218819327168651	1	4	618	154	main	all	HRD_Score	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.5092163485124822	0.6645198563447889	0.4314896910667507	11.564014775412424	1	5	618	154	main	all	HRD_Score	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.7561146949930316	0.8190506486725067	0.6488483464574334	9.49486083984375	1	1	617	155	main	all	HRD_Score	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.6470194295015591	0.7874237848677907	0.6089358689393047	9.931728904478012	1	2	617	155	main	all	HRD_Score	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.6148294138568567	0.6742653157001605	0.4459455161091487	10.663242191463322	1	3	618	154	main	all	HRD_Score	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.5934244160926253	0.6888312009616772	0.4543305436409907	11.289768293306423	1	4	618	154	main	all	HRD_Score	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.7242319666748042	0.8438748066832399	0.6766512291005911	9.388533294974984	1	5	618	154	main	all	HRD_Score	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.5676181823943829	0.6659344320150344	0.4283036176679764	10.862291348365046	1	1	617	155	main	all	HRD_Score	regression	standard_sbs	Standard SBS96				
0.6130816838434553	0.7101286735150114	0.4914042806515952	10.37856290878788	1	2	617	155	main	all	HRD_Score	regression	standard_sbs	Standard SBS96				
0.7087298071793294	0.7993398065672135	0.6311141280846324	10.682131321399243	1	3	618	154	main	all	HRD_Score	regression	standard_sbs	Standard SBS96				
0.7490564778277848	0.8028550429641282	0.6342760975662378	9.739588161567587	1	4	618	154	main	all	HRD_Score	regression	standard_sbs	Standard SBS96				
0.7441886122816826	0.7814422641560436	0.6074643816958223	9.84257563058432	1	5	618	154	main	all	HRD_Score	regression	standard_sbs	Standard SBS96				
0.6882027587965093	0.7299140676797878	0.5304567499996061	10.35097790994952	1	1	617	155	main	all	HRD_Score	regression	standard_sbs_id	Standard SBS96+ID83				
0.6410166583958627	0.7468078960074496	0.5418245714348614	10.053518492175687	1	2	617	155	main	all	HRD_Score	regression	standard_sbs_id	Standard SBS96+ID83				
0.674261362392336	0.8121091974078931	0.6569856962102448	9.18616163575804	1	3	618	154	main	all	HRD_Score	regression	standard_sbs_id	Standard SBS96+ID83				
0.7311545900164907	0.7691116826229731	0.5859013697919907	10.133051513077376	1	4	618	154	main	all	HRD_Score	regression	standard_sbs_id	Standard SBS96+ID83				
0.7073824708460975	0.8118962417049927	0.6588040466426244	9.846551758902413	1	5	618	154	main	all	HRD_Score	regression	standard_sbs_id	Standard SBS96+ID83				
0.5545875071157198	0.5373360117337057	0.2549269884909578	4.617170146203811	1	1	617	155	main	all	HRD_TAI	regression	burden_only	Burden only				
0.6338454567444093	0.6492333929165989	0.4181455050715266	4.54839548295544	1	2	617	155	main	all	HRD_TAI	regression	burden_only	Burden only				
0.6369309027524251	0.6249778797447321	0.388034163965353	4.813349451337542	1	3	618	154	main	all	HRD_TAI	regression	burden_only	Burden only				
0.6614182321038433	0.6794979930044182	0.4525705090771678	4.185794477338915	1	4	618	154	main	all	HRD_TAI	regression	burden_only	Burden only				
0.5068187812400929	0.5803916554581138	0.3184644417577958	4.8778902710258185	1	5	618	154	main	all	HRD_TAI	regression	burden_only	Burden only				
0.6808533392290893	0.7256819286792946	0.5241423606361018	3.6629852541031376	1	1	617	155	main	all	HRD_TAI	regression	locked_uga_sbs	Locked UGA SBS96				
0.5770442897842623	0.6560861865453491	0.4136712910166428	4.6823750588201705	1	2	617	155	main	all	HRD_TAI	regression	locked_uga_sbs	Locked UGA SBS96				
0.7209211852831688	0.7675357996441531	0.576471326868145	4.109758522603419	1	3	618	154	main	all	HRD_TAI	regression	locked_uga_sbs	Locked UGA SBS96				
