endpoint,endpoint_type,n,standard_sbs_auroc,locked_uga_sbs_auroc,delta_locked_sbs_vs_standard_sbs,standard_sbs_id_auroc,locked_pooled_sbs_id_auroc,delta_locked_pooled_vs_standard_sbs_id,pooled_q_value
high_stage,binary,6404,0.631195179209096,0.6212687943434345,-0.009926384865661442,0.6209939588207636,0.6223997141668947,0.0014057553461310768,0.9710289710289711
high_purity,binary,9591,0.640084400187931,0.6297733571717934,-0.010311043016137611,0.6391512041580037,0.6389616551706381,-0.00018954898736567305,0.9710289710289711
os_event,binary,10139,0.6538213445624794,0.6563252254369911,0.002503880874511699,0.6525668506169734,0.6523254467563071,-0.00024140386066628938,0.9710289710289711
smoking_ever,binary,2798,0.7762101537460271,0.7709395618846386,-0.005270591861388452,0.7739641104312059,0.7667961309722815,-0.007167979458924445,0.4211173441942673
cancer_type_top10,multiclass,5462,0.9354548943254688,0.9237585227742948,-0.011696371551173979,0.9371352537029314,0.9178482184626284,-0.019287035240302952,0.004995004995004995
