suite,endpoint,task,feature_set,feature_label,n,n_features,repeats,outer_folds,primary_metric,primary_metric_name,spearman,r2,mae,auroc,auprc,balanced_accuracy
tcga_brca_hrd,hrd_binary_24,binary,standard_sbs_exposure,Standard SBS exposures,772,100,1,5,0.8276552157774819,auroc,,,,0.8276552157774819,0.8267442078662283,0.7469220523707465
tcga_brca_hrd,hrd_binary_24,binary,standard_sbs_id_exposure,Standard SBS+ID exposures,772,125,1,5,0.8395140189443366,auroc,,,,0.8395140189443366,0.842792247466852,0.7710115139919003
tcga_brca_hrd,hrd_binary_33,binary,burden_only,Burden only,772,3,1,5,0.8235074508308708,auroc,,,,0.8235074508308708,0.6235448454276459,0.731341149556763
tcga_brca_hrd,hrd_binary_33,binary,locked_uga_sbs_exposure,Locked UGA SBS exposures,772,100,1,5,0.8537714866711151,auroc,,,,0.8537714866711151,0.7457301609500966,0.7701998538429765
tcga_brca_hrd,hrd_binary_33,binary,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,772,125,1,5,0.8662504368824073,auroc,,,,0.8662504368824073,0.7799120120977119,0.7821863184316715
tcga_brca_hrd,hrd_binary_33,binary,standard_sbs_exposure,Standard SBS exposures,772,100,1,5,0.8628983573221491,auroc,,,,0.8628983573221491,0.7617951951190298,0.7805182219680361
tcga_brca_hrd,hrd_binary_33,binary,standard_sbs_id_exposure,Standard SBS+ID exposures,772,125,1,5,0.873915737298637,auroc,,,,0.873915737298637,0.778636650162494,0.8001223270739999
tcga_brca_hrd,hrd_binary_42,binary,burden_only,Burden only,772,3,1,5,0.8295391211146839,auroc,,,,0.8295391211146839,0.5242015734968016,0.7153697749196142
tcga_brca_hrd,hrd_binary_42,binary,locked_uga_sbs_exposure,Locked UGA SBS exposures,772,100,1,5,0.8988531618435155,auroc,,,,0.8988531618435155,0.7363620162163688,0.8114790996784566
tcga_brca_hrd,hrd_binary_42,binary,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,772,125,1,5,0.9031511254019292,auroc,,,,0.9031511254019292,0.7704073605157198,0.8142229367631297
tcga_brca_hrd,hrd_binary_42,binary,standard_sbs_exposure,Standard SBS exposures,772,100,1,5,0.909549839228296,auroc,,,,0.909549839228296,0.7643991686875913,0.8275562700964629
tcga_brca_hrd,hrd_binary_42,binary,standard_sbs_id_exposure,Standard SBS+ID exposures,772,125,1,5,0.910032154340836,auroc,,,,0.910032154340836,0.7694984996479498,0.8290460878885316
tcga_brca_hrd,parpi7_binary,binary,burden_only,Burden only,772,3,1,5,0.6191934200849505,auroc,,,,0.6191934200849505,0.1715653544296768,0.5701592447506266
tcga_brca_hrd,parpi7_binary,binary,locked_uga_sbs_exposure,Locked UGA SBS exposures,772,100,1,5,0.5730259504405121,auroc,,,,0.5730259504405121,0.1917344408670139,0.5382502589040479
tcga_brca_hrd,parpi7_binary,binary,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,772,125,1,5,0.5947888993951401,auroc,,,,0.5947888993951401,0.2282846477352452,0.5340927852071983
tcga_brca_hrd,parpi7_binary,binary,standard_sbs_exposure,Standard SBS exposures,772,100,1,5,0.6360784666876792,auroc,,,,0.6360784666876792,0.2274050906212413,0.5789544779143591
tcga_brca_hrd,parpi7_binary,binary,standard_sbs_id_exposure,Standard SBS+ID exposures,772,125,1,5,0.6684827472346047,auroc,,,,0.6684827472346047,0.250835379422911,0.6187731700361716
tcga_mc3,brca_gene_mutated,binary,burden_only,Burden only,10224,3,1,5,0.8178235273557065,auroc,,,,0.8178235273557065,0.4001450174634157,0.6022908473817001
tcga_mc3,brca_gene_mutated,binary,locked_uga_sbs_exposure,Locked UGA SBS exposures,10224,100,1,5,0.8149654429078604,auroc,,,,0.8149654429078604,0.3776549134822298,0.6396554491351989
tcga_mc3,brca_gene_mutated,binary,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,10224,125,1,5,0.8170576289176772,auroc,,,,0.8170576289176772,0.3797144218713568,0.6451725999958626
tcga_mc3,brca_gene_mutated,binary,standard_sbs_exposure,Standard SBS exposures,10224,100,1,5,0.813907651351789,auroc,,,,0.813907651351789,0.3868184611236502,0.6405060907365308
tcga_mc3,brca_gene_mutated,binary,standard_sbs_id_exposure,Standard SBS+ID exposures,10224,125,1,5,0.8139610081583128,auroc,,,,0.8139610081583128,0.3807692205293531,0.6477106149371952
tcga_mc3,cancer_type_top10,multiclass,burden_only,Burden only,5462,3,1,5,0.8412563578682362,auroc,,,,0.8412563578682362,,0.4267389473510764
tcga_mc3,cancer_type_top10,multiclass,locked_uga_sbs_exposure,Locked UGA SBS exposures,5462,100,1,5,0.9123345851238804,auroc,,,,0.9123345851238804,,0.5943049196556218
tcga_mc3,cancer_type_top10,multiclass,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,5462,125,1,5,0.9119860408656112,auroc,,,,0.9119860408656112,,0.600949453368957
tcga_mc3,cancer_type_top10,multiclass,standard_sbs_exposure,Standard SBS exposures,5462,100,1,5,0.923134774340363,auroc,,,,0.923134774340363,,0.6310128914086437
tcga_mc3,cancer_type_top10,multiclass,standard_sbs_id_exposure,Standard SBS+ID exposures,5462,125,1,5,0.9239815244993894,auroc,,,,0.9239815244993894,,0.6368252040319772
tcga_mc3,high_purity,binary,burden_only,Burden only,9591,3,1,5,0.6005246827316175,auroc,,,,0.6005246827316175,0.588808672495672,0.5732249093988027
tcga_mc3,high_purity,binary,locked_uga_sbs_exposure,Locked UGA SBS exposures,9591,100,1,5,0.6292491615784637,auroc,,,,0.6292491615784637,0.6078668787582968,0.5889126107837281
tcga_mc3,high_purity,binary,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,9591,125,1,5,0.6353029856618674,auroc,,,,0.6353029856618674,0.6184298759405773,0.5947679912565637
tcga_mc3,high_purity,binary,standard_sbs_exposure,Standard SBS exposures,9591,100,1,5,0.6309277009360623,auroc,,,,0.6309277009360623,0.6082177269137732,0.5916860369377827
tcga_mc3,high_purity,binary,standard_sbs_id_exposure,Standard SBS+ID exposures,9591,125,1,5,0.640820305211275,auroc,,,,0.640820305211275,0.6175086409860694,0.599832576659691
tcga_mc3,high_stage,binary,burden_only,Burden only,6404,3,1,5,0.581079860658442,auroc,,,,0.581079860658442,0.4278455490591613,0.5332940631885519
