spearman,pearson,r2,mae,suite,subset,endpoint,task,model,model_label,n,n_features,repeats,outer_folds,auroc,auprc,balanced_acc,brier
0.3285089784472455,0.3107079817840409,0.0760926208678137,0.42727714966485,main,all,eCARD,regression,locked_uga_sbs_id_separate,Locked separate-block UGA SBS+ID,772,143,1,5,,,,
0.4008607263941252,0.4002895785653894,0.1551111330463246,0.4104707826458131,main,all,eCARD,regression,standard_sbs,Standard SBS96,772,99,1,5,,,,
0.4077093116313201,0.4047661136310457,0.1594935684030579,0.407006451342501,main,all,eCARD,regression,standard_sbs_id,Standard SBS96+ID83,772,182,1,5,,,,
,,,,main,all,hrd_binary_24,classification,burden_only,Burden only,772,3,1,5,0.7868424077291811,0.7229254003279311,0.7358137207840062,0.1875413756825869
,,,,main,all,hrd_binary_24,classification,locked_uga_sbs,Locked UGA SBS96,772,73,1,5,0.8292778570317835,0.7960982486767069,0.7458166280162535,0.1674691860314833
,,,,main,all,hrd_binary_24,classification,locked_uga_sbs_id_pooled,Locked pooled UGA SBS+ID,772,73,1,5,0.8038801408993489,0.8040719543867498,0.7329132495419419,0.1801792983062994
,,,,main,all,hrd_binary_24,classification,locked_uga_sbs_id_separate,Locked separate-block UGA SBS+ID,772,143,1,5,0.8215500280581718,0.8098641387419936,0.7538689852407255,0.1714943512819629
,,,,main,all,hrd_binary_24,classification,standard_sbs,Standard SBS96,772,99,1,5,0.8393449938136802,0.8370273174727945,0.773553651956973,0.1591046002054717
,,,,main,all,hrd_binary_24,classification,standard_sbs_id,Standard SBS96+ID83,772,182,1,5,0.8464508103064764,0.8333402852457075,0.7795202390691448,0.1545996148073382
,,,,main,all,hrd_binary_33,classification,burden_only,Burden only,772,3,1,5,0.828662663235154,0.6535277405796824,0.7619388046897341,0.1675362730871794
,,,,main,all,hrd_binary_33,classification,locked_uga_sbs,Locked UGA SBS96,772,73,1,5,0.8593079782670862,0.7402843423076748,0.7894544530232264,0.1374446911987673
,,,,main,all,hrd_binary_33,classification,locked_uga_sbs_id_pooled,Locked pooled UGA SBS+ID,772,73,1,5,0.8677914402821467,0.7751054917899721,0.7955866933562101,0.1322081272760624
,,,,main,all,hrd_binary_33,classification,locked_uga_sbs_id_separate,Locked separate-block UGA SBS+ID,772,143,1,5,0.8615559368347473,0.767775495949595,0.7866663489340069,0.1358657845413976
,,,,main,all,hrd_binary_33,classification,standard_sbs,Standard SBS96,772,99,1,5,0.8753137610014933,0.7602103133139165,0.8024656054395831,0.1282454696663588
,,,,main,all,hrd_binary_33,classification,standard_sbs_id,Standard SBS96+ID83,772,182,1,5,0.8737330410192865,0.7752356219624374,0.7795173640898547,0.1304712526660053
,,,,main,all,hrd_binary_42,classification,burden_only,Burden only,772,3,1,5,0.8384565916398713,0.5450437520465287,0.749989281886388,0.1580903975376383
,,,,main,all,hrd_binary_42,classification,locked_uga_sbs,Locked UGA SBS96,772,73,1,5,0.9034512325830651,0.7304829972319756,0.812454448017149,0.0929709152949432
,,,,main,all,hrd_binary_42,classification,locked_uga_sbs_id_pooled,Locked pooled UGA SBS+ID,772,73,1,5,0.8963397642015006,0.7700416217876247,0.8181993569131832,0.0946183913369642
,,,,main,all,hrd_binary_42,classification,locked_uga_sbs_id_separate,Locked separate-block UGA SBS+ID,772,143,1,5,0.9057984994640944,0.7678109716769276,0.8098070739549839,0.0909365848425623
,,,,main,all,hrd_binary_42,classification,standard_sbs,Standard SBS96,772,99,1,5,0.9166666666666666,0.7636467642818354,0.8180814576634512,0.0873196007842127
,,,,main,all,hrd_binary_42,classification,standard_sbs_id,Standard SBS96+ID83,772,182,1,5,0.9117256162915326,0.7611653184097829,0.8288853161843515,0.0885315606936403
,,,,main,all,parpi7_binary,classification,burden_only,Burden only,772,3,1,5,0.6283638765065214,0.1851616073084931,0.611959115673826,0.1965429782729887
,,,,main,all,parpi7_binary,classification,locked_uga_sbs,Locked UGA SBS96,772,73,1,5,0.6165068215588275,0.2092015871583473,0.5776712143725516,0.1468178420249068
,,,,main,all,parpi7_binary,classification,locked_uga_sbs_id_pooled,Locked pooled UGA SBS+ID,772,73,1,5,0.6516127095621895,0.2166208911367728,0.564155672625212,0.1408290168941514
,,,,main,all,parpi7_binary,classification,locked_uga_sbs_id_separate,Locked separate-block UGA SBS+ID,772,143,1,5,0.6722049619523617,0.21841588351607333,0.5778213036756871,0.13688407280864925
,,,,main,all,parpi7_binary,classification,standard_sbs,Standard SBS96,772,99,1,5,0.6513425488165459,0.2399306329896064,0.5986161766250919,0.1412187267792732
,,,,main,all,parpi7_binary,classification,standard_sbs_id,Standard SBS96+ID83,772,182,1,5,0.649751602203311,0.2268026104190172,0.5799000405241118,0.1398553337720742
