benchmark,endpoint,family,task,representation,metric,score,n_samples,n_classes,n_features,n_folds,model,split_strategy,tuning,n_estimators,max_depth,learning_rate,tree_method,balanced_accuracy_at_0p5,balanced_accuracy_argmax,accuracy,macro_f1,delta_vs_standard,delta_vs_previous_uga_mean
mc3_hrd_kmt2c,cancer_type_top10,mc3_clinical,multiclass,uga_rbf_kernel_mean,macro_auroc,0.8783017968149262,5462,10.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,,0.4894984438754864,,,-0.0471861593549735,-0.028987990279607634
mc3_hrd_kmt2c,eCARD,hrd,regression,previous_uga_mean_pooled,spearman,0.3282230485693376,772,,73,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,-0.09104824441389309,0.0
mc3_hrd_kmt2c,eCARD,hrd,regression,standard_sbs96_id83,spearman,0.4192712929832307,772,,182,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,0.0,0.09104824441389309
mc3_hrd_kmt2c,eCARD,hrd,regression,uga_rbf_kernel_mean,spearman,0.3354634539794606,772,,182,5,XGBRegressor(lightweight),5-fold KFold,none,160,2,0.05,gpu_hist,,,,,-0.08380783900377009,0.007240405410122996
mc3_hrd_kmt2c,high_purity,mc3_clinical,binary,previous_uga_mean_pooled,auroc,0.6346642690764006,9591,2.0,73,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.594787955227468,,,,-0.0029011259766579256,0.0
mc3_hrd_kmt2c,high_purity,mc3_clinical,binary,standard_sbs96_id83,auroc,0.6375653950530585,9591,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.5971630153477268,,,,0.0,0.0029011259766579256
mc3_hrd_kmt2c,high_purity,mc3_clinical,binary,uga_rbf_kernel_mean,auroc,0.6202571759601778,9591,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.5842851450049753,,,,-0.017308219092880717,-0.014407093116222791
mc3_hrd_kmt2c,high_stage,mc3_clinical,binary,previous_uga_mean_pooled,auroc,0.6157809277361013,6404,2.0,73,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.5925226529915142,,,,-0.010627961973126654,0.0
mc3_hrd_kmt2c,high_stage,mc3_clinical,binary,standard_sbs96_id83,auroc,0.6264088897092279,6404,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.5990647580745094,,,,0.0,0.010627961973126654
mc3_hrd_kmt2c,high_stage,mc3_clinical,binary,uga_rbf_kernel_mean,auroc,0.6055388175652934,6404,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.588447720852426,,,,-0.020870072143934548,-0.010242110170807894
