Candidate,Sample,Burden,MAE,Cosine,Top1_Process_Match,Reconstruction_Error
legacy_zero,SIM-0001,300,0.12409762623486129,0.0025457775258608995,0.0,0.013333333333333334
legacy_zero,SIM-0002,300,0.059993125439009656,0.6448391242331194,1.0,0.007558357248790433
legacy_zero,SIM-0003,300,0.03078716653117452,0.9427744728374413,1.0,0.004714045207910317
legacy_zero,SIM-0004,300,0.10060743487498344,0.1283866898590112,0.0,0.004714045207910317
legacy_zero,SIM-0005,300,0.1242109161838581,0.0006913974424404021,0.0,0.007453559924999299
legacy_zero,SIM-0006,300,0.12349657409011541,0.010659748940863913,0.0,0.0055277079839256655
legacy_zero,SIM-0007,300,0.013411585484305258,0.991867578057,1.0,0.011132710767856427
legacy_zero,SIM-0008,300,0.032866463780682705,0.8832930685501544,1.0,0.011731366404490887
legacy_zero,SIM-0009,300,0.1238880601638834,0.0007966673842009163,0.0,0.00568794617143667
legacy_zero,SIM-0010,300,0.12033116534954566,0.004705378549478921,0.0,0.0074704062071960725
legacy_zero,SIM-0011,300,0.1071088087209244,0.09908840312264772,0.0,0.007453559924999299
legacy_zero,SIM-0012,300,0.016254186987211018,0.9835556424129401,1.0,0.003935726185204012
legacy_zero,SIM-0013,300,0.11295673484818491,0.02104756233570182,0.0,0.008854490245243997
legacy_zero,SIM-0014,300,0.0036753380303260912,0.9999274199562029,1.0,0.01611458974234378
legacy_zero,SIM-0015,300,0.09788949570283388,0.17719036936344393,0.0,0.005553058115305481
legacy_zero,SIM-0016,300,0.047908867603156415,0.8367457573595717,1.0,0.009428090415820633
legacy_zero,SIM-0017,300,0.12314670024667332,0.0012160864779563602,0.0,0.016583123951777003
legacy_zero,SIM-0018,300,0.11986869754456904,0.010700509062716555,0.0,0.011055415967851335
legacy_zero,SIM-0019,300,0.061565446359091884,0.6294569940880816,1.0,0.007495316889958613
legacy_zero,SIM-0020,300,0.11892898023918036,0.03902993571703474,0.0,0.029155829982570113
legacy_zero,SIM-0021,300,0.12271832501156055,0.004363480106038294,0.0,0.008164965809277261
legacy_zero,SIM-0022,300,0.0729486651006849,0.6629355339206406,1.0,0.012472191289246473
legacy_zero,SIM-0023,300,0.05034355797605948,0.7730840815193478,1.0,0.008164965809277261
legacy_zero,SIM-0024,300,0.0734607947915653,0.5109623916797164,1.0,0.013743685418725535
legacy_zero,SIM-0025,300,0.09367305221725448,0.34703247990361563,0.0,0.016583123951777
legacy_zero,SIM-0026,300,0.12250399830648676,0.01637393057261718,0.0,0.014433756729740645
legacy_zero,SIM-0027,300,0.12494060046228282,0.0002870355490116394,0.0,0.0232055817712276
legacy_zero,SIM-0028,300,0.12428860096509002,0.005354240284963201,0.0,0.007904182328125103
legacy_zero,SIM-0029,300,0.12401001450867358,0.004221048024147845,0.0,0.013435934823051516
legacy_zero,SIM-0030,300,0.12411109562473849,0.0014381307098496905,0.0,0.011902380714238082
legacy_zero,SIM-0031,300,0.08994306361663695,0.158720185845254,0.0,0.012008124739853143
legacy_zero,SIM-0032,300,0.057578646361860136,0.7506756389811982,1.0,0.009860132971832693
legacy_zero,SIM-0033,300,0.039742066584242335,0.8662697500486127,0.0,0.003018875285600993
legacy_zero,SIM-0034,300,0.014700205170711354,0.9910094124828662,1.0,0.011655936917722818
legacy_zero,SIM-0035,300,0.12445371298160599,0.0035672554311867995,0.0,0.012801909579781013
legacy_zero,SIM-0036,300,0.04117804887098808,0.8781290116871551,1.0,0.011273664735533019
legacy_zero,SIM-0037,300,0.07548265716879567,0.5948773996790019,0.0,0.014529663145135577
legacy_zero,SIM-0038,300,0.07563581327528615,0.6777448101750194,1.0,0.015650681142516422
legacy_zero,SIM-0039,300,0.12416298216052386,0.002400590372135611,0.0,0.012801909579781013
legacy_zero,SIM-0040,300,0.12431861855551868,0.002377165960116684,0.0,0.015184055965240497
legacy_zero,SIM-0041,300,0.019209011387936493,0.9773339087543118,1.0,0.01022466127677227
legacy_zero,SIM-0042,300,0.013298594441412572,0.994958258601933,1.0,0.009806857314359003
