benchmark,family,n_endpoints,mean_delta_vs_standard,median_delta_vs_standard,wins_vs_standard,mean_delta_vs_previous_uga_mean,median_delta_vs_previous_uga_mean,wins_vs_previous_uga_mean
kucab_damage_class,kucab,1,-0.035326195407688,-0.035326195407688,0,-0.02152579347068595,-0.02152579347068595,0
mc3_hrd_kmt2c,hrd,10,-0.043898019771307376,-0.042107593826469225,0,-0.015529038838234203,-0.01432580619242646,2
mc3_hrd_kmt2c,mc3_clinical,5,-0.023923501501711342,-0.01955783450093207,0,-0.016173885832893233,-0.014407093116222791,0
mc3_hrd_kmt2c,mc3_kmt2c_supportive,1,0.047358075692963686,0.047358075692963686,1,-0.003481476545842299,-0.003481476545842299,0
