benchmark,family,endpoint,metric,linear_standard,linear_previous_uga_mean,linear_uga_rbf_kme,linear_kme_minus_standard,linear_kme_minus_previous_uga_mean,linear_previous_uga_mean_minus_standard,xgb_standard,xgb_previous_uga_mean,xgb_uga_rbf_kme,xgb_kme_minus_standard,xgb_kme_minus_previous_uga_mean,xgb_previous_uga_mean_minus_standard,sign_agree_kme_minus_standard,sign_agree_kme_minus_previous_uga_mean,sign_agree_previous_uga_mean_minus_standard
kucab_damage_class,kucab,damage_class,macro_auroc,0.6548185134242075,0.6760409991031784,0.6284397406320446,-0.02637877279216294,-0.047601258471133834,0.021222485678970893,0.6409169485181,0.6271165465810979,0.605590753110412,-0.035326195407688,-0.02152579347068595,-0.01380040193700205,True,True,False
mc3_hrd_kmt2c,hrd,HRD_LOH,spearman,0.4123969434166038,0.4760308798375217,0.4801420275242805,0.06774508410767666,0.004111147686758798,0.06363393642091786,0.5933105666109622,0.533946253906103,0.5433013686953824,-0.050009197915579784,0.009355114789279417,-0.0593643127048592,False,True,False
mc3_hrd_kmt2c,hrd,HRD_LST,spearman,0.5112603413343149,0.553649479584001,0.5608351402064652,0.04957479887215033,0.007185660622464174,0.042389138249686154,0.6790216160663539,0.6321915627577189,0.6179014665931183,-0.06112014947323563,-0.01429009616460064,-0.04683005330863499,False,False,False
mc3_hrd_kmt2c,hrd,HRD_Score,spearman,0.5031023683493862,0.5670007745112181,0.5779535075493678,0.07485113919998165,0.010952733038149698,0.06389840616183196,0.6899091667141862,0.6518584376772764,0.6303476659276666,-0.05956150078651967,-0.021510771749609803,-0.03805072903690987,False,False,False
mc3_hrd_kmt2c,hrd,HRD_TAI,spearman,0.4904212225701913,0.5556695282168657,0.5595295857986106,0.06910836322841929,0.0038600575817449023,0.06524830564667439,0.6751331600333978,0.6283705324567922,0.6282973936023245,-0.046835766431073345,-7.313885446769142e-05,-0.04676262757660565,False,False,False
mc3_hrd_kmt2c,hrd,PARPi7,spearman,0.1691948086268097,0.2126527889563119,0.197788685068537,0.02859387644172731,-0.014864103887774899,0.04345798032950221,0.1857232696316762,0.2385993154069489,0.1825666136861415,-0.0031566559455347143,-0.056032701720807404,0.05287604577527269,False,True,True
mc3_hrd_kmt2c,hrd,eCARD,spearman,0.2590039711077565,0.2993243481940515,0.3086410510305566,0.04963707992280009,0.009316702836505097,0.04032037708629499,0.4192712929832307,0.3282230485693376,0.3354634539794606,-0.08380783900377009,0.007240405410122996,-0.09104824441389309,False,True,False
mc3_hrd_kmt2c,hrd,hrd_binary_24,auroc,0.7552921768408526,0.7934986173744312,0.7953916988377832,0.040099521996930565,0.0018930814633519866,0.03820644053357858,0.8401022263990209,0.8209482985930348,0.8128452338293657,-0.027256992569655192,-0.008103064763669066,-0.019153927805986126,False,False,False
mc3_hrd_kmt2c,hrd,hrd_binary_33,auroc,0.748228640421949,0.8380278333809932,0.8400851523528103,0.0918565119308613,0.002057318971817157,0.08979919295904415,0.8801591840625297,0.8586407396816319,0.8442792234613796,-0.03587996060115006,-0.01436151622025228,-0.021518444380897783,False,False,False
mc3_hrd_kmt2c,hrd,hrd_binary_42,auroc,0.8274062165058949,0.880192926045016,0.8808788853161843,0.05347266881028945,0.0006859592711683238,0.052786709539121124,0.9226688102893892,0.9016345123258308,0.8852893890675241,-0.037379421221865106,-0.016345123258306726,-0.02103429796355838,False,False,False
mc3_hrd_kmt2c,hrd,parpi7_binary,auroc,0.5674126105032494,0.6367088417608477,0.651822834586579,0.08441022408332954,0.015113992825731226,0.06929623125759832,0.6624341483182494,0.6696309304035901,0.6284614345535593,-0.03397271376469013,-0.041169495850030824,0.007196782085340692,False,False,True
mc3_hrd_kmt2c,mc3_clinical,cancer_type_top10,macro_auroc,0.9114056029687074,0.8946340649627154,0.8902173252024399,-0.021188277766267527,-0.0044167397602754566,-0.01677153800599207,0.9254879561698997,0.9072897870945338,0.8783017968149262,-0.0471861593549735,-0.028987990279607634,-0.018198169075365866,True,True,True
mc3_hrd_kmt2c,mc3_clinical,high_purity,auroc,0.6182870930361929,0.6137116901619553,0.6111632610046062,-0.00712383203158673,-0.002548429157349097,-0.004575402874237633,0.6375653950530585,0.6346642690764006,0.6202571759601778,-0.017308219092880717,-0.014407093116222791,-0.0029011259766579256,True,True,True
mc3_hrd_kmt2c,mc3_clinical,high_stage,auroc,0.5966884686547563,0.6003366071864261,0.6014275216120188,0.004739052957262513,0.0010909144255927261,0.0036481385316697867,0.6264088897092279,0.6157809277361013,0.6055388175652934,-0.020870072143934548,-0.010242110170807894,-0.010627961973126654,False,False,False
mc3_hrd_kmt2c,mc3_clinical,os_event,auroc,0.6153331964133812,0.6108911455234962,0.6146246723035914,-0.000708524109789832,0.0037335267800951977,-0.00444205088988503,0.6509354451129012,0.6517407506205827,0.6362402226970654,-0.014695222415835874,-0.015500527923517304,0.0008053055076814308,True,False,False
mc3_hrd_kmt2c,mc3_clinical,smoking_ever,auroc,0.7330596306350884,0.7586060648900828,0.7591403519162054,0.026080721281117047,0.0005342870261226818,0.025546434254994366,0.7750046646632496,0.767178537836628,0.7554468301623175,-0.01955783450093207,-0.011731707674310532,-0.007826126826621538,False,False,False
mc3_hrd_kmt2c,mc3_kmt2c_supportive,luad_kmt2c_mutated,auroc,0.6605143923240937,0.7456356609808102,0.7516657782515992,0.09115138592750549,0.006030117270788948,0.08512126865671654,0.6644123134328358,0.7152518656716418,0.7117703891257995,0.047358075692963686,-0.003481476545842299,0.050839552238805985,True,False,True
