cache_key,kind,model_id,name,namespace,reason,status
legacy_maf_event_gene_locus_8cb5cbf6fc014baed726403c,,,,legacy_maf_event_gene_locus,,missing
,script,,run_xgboost_maf_event_gene_coordinate_search.py,,fresh manuscript config uses frozen candidates,skipped
,script,maf_only_best_gene_locus_multiscale_stack,run_full_panel_confirmation.py,,,planned
,script,id_plus_best_gene_locus_multiscale_stack,run_full_panel_confirmation.py,,,planned
