Sample,Target_Modality,Method,MAE,Cosine,Top1_Process_Match
SIM-0281,DBS,Standard random bridge,0.16114967839274025,0.014822636321043097,0.0
SIM-0390,DBS,UGA unsupervised bridge,0.017915319965962507,0.991237885204478,1.0
SIM-0390,DBS,Oracle label bridge,0.0179153199659625,0.991237885204478,1.0
SIM-0390,DBS,Standard no-bridge cohort mean,0.12996716770312314,0.3743994170934819,0.0
SIM-0390,DBS,Standard random bridge,0.16279334764904932,0.0023932859898221056,0.0
SIM-0015,DBS,UGA unsupervised bridge,0.011926225434762799,0.9949978525861075,1.0
SIM-0015,DBS,Oracle label bridge,0.011926225434762799,0.9949978525861075,1.0
SIM-0015,DBS,Standard no-bridge cohort mean,0.1373335853361856,0.34851664925331854,0.0
SIM-0015,DBS,Standard random bridge,0.12512159405641396,0.13751515834987568,0.0
SIM-0337,DBS,UGA unsupervised bridge,0.010814076729102173,0.9977264476503733,1.0
SIM-0337,DBS,Oracle label bridge,0.010814076729102158,0.9977264476503734,1.0
SIM-0337,DBS,Standard no-bridge cohort mean,0.12856678586706685,0.40013232549828215,0.0
SIM-0337,DBS,Standard random bridge,0.16304920250063984,0.02162594548460668,0.0
SIM-0458,DBS,UGA unsupervised bridge,0.00916381790658378,0.9994217124345333,1.0
SIM-0458,DBS,Oracle label bridge,0.00916381790658378,0.9994217124345333,1.0
SIM-0458,DBS,Standard no-bridge cohort mean,0.13498891469571403,0.27366111574973334,0.0
SIM-0458,DBS,Standard random bridge,0.15950529512254055,0.02858148351303833,0.0
SIM-0434,DBS,UGA unsupervised bridge,0.00663080778110934,0.9980864326724326,1.0
SIM-0434,DBS,Oracle label bridge,0.006630807781109336,0.9980864326724326,1.0
SIM-0434,DBS,Standard no-bridge cohort mean,0.13807505825661984,0.3862868510855784,0.0
SIM-0434,DBS,Standard random bridge,0.16666666666666666,0.0,0.0
SIM-0060,DBS,UGA unsupervised bridge,0.017062365244537095,0.9944487198396595,1.0
