Endpoint tier,Endpoint,Representation,Model,Primary metric,Selected feature-set label,Selected total features,Selected Bio MAF features,Selected Bio MAF blocks,Includes mutational signatures,Includes exact driver genes,Includes optional burden controls,Outer folds selected,Outer folds evaluated,Fold selection fraction,Mean inner-validation score,Mean outer-fold score,Selection interpretation
Supplementary,HRD LST,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,1,5,0.2,0.6910687438844473,0.7048419651062281,Selected in 1 of 5 outer folds.
Supplementary,HRD LST,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,3,5,0.6,0.7108425738669487,0.7304952766452347,Selected in 3 of 5 outer folds.
Supplementary,HRD LST,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,1,5,0.2,0.7428877908610247,0.6857011138227787,Selected in 1 of 5 outer folds.
Supplementary,HRD LOH,Bio MAF v4,Elastic net,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,5,5,1.0,0.648287155697593,0.607287027557527,Selected in 5 of 5 outer folds.
Supplementary,HRD LOH,Bio MAF v4,XGBoost,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,2,5,0.4,0.7182663242694917,0.631351278956565,Selected in 2 of 5 outer folds.
Supplementary,HRD LOH,Bio MAF v4,XGBoost,Spearman r,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,1,5,0.2,0.6540626490004536,0.5812585455048952,Selected in 1 of 5 outer folds.
Supplementary,HRD LOH,Bio MAF v4,XGBoost,Spearman r,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,2,5,0.4,0.6199193902957769,0.6487044096304593,Selected in 2 of 5 outer folds.
Supplementary,HRD LOH,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,2,5,0.4,0.6585592591829006,0.6410106481909925,Selected in 2 of 5 outer folds.
Supplementary,HRD LOH,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,1,5,0.2,0.7051776385910081,0.5757974310117484,Selected in 1 of 5 outer folds.
Supplementary,HRD LOH,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,2,5,0.4,0.624707154762136,0.6362169970056457,Selected in 2 of 5 outer folds.
