Endpoint tier,Endpoint,Representation,Model,Primary metric,Selected feature-set label,Selected total features,Selected Bio MAF features,Selected Bio MAF blocks,Includes mutational signatures,Includes exact driver genes,Includes optional burden controls,Outer folds selected,Outer folds evaluated,Fold selection fraction,Mean inner-validation score,Mean outer-fold score,Selection interpretation
Main,HRD33 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology only,121,121,Compact biological annotation core,No,No,No,1,5,0.2,0.8538219070133964,0.8162238325281803,Selected in 1 of 5 outer folds.
Main,HRD33 high/low,Bio MAF v4,Elastic net,AUROC,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,1,5,0.2,0.8412135539795115,0.8944124080334063,Selected in 1 of 5 outer folds.
Main,HRD33 high/low,Bio MAF v4,XGBoost,AUROC,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,2,5,0.4,0.8999211977935382,0.862646649433287,Selected in 2 of 5 outer folds.
Main,HRD33 high/low,Bio MAF v4,XGBoost,AUROC,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,1,5,0.2,0.8508668242710795,0.8727344365642238,Selected in 1 of 5 outer folds.
Main,HRD33 high/low,Bio MAF v4,XGBoost,AUROC,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,2,5,0.4,0.8745074862096138,0.8829294720252168,Selected in 2 of 5 outer folds.
Main,HRD33 high/low,Signatures + Bio MAF v4,Elastic net,AUROC,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,4,5,0.8,0.8258471237194641,0.8345688705187849,Selected in 4 of 5 outer folds.
Main,HRD33 high/low,Signatures + Bio MAF v4,Elastic net,AUROC,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,1,5,0.2,0.874113475177305,0.8576257705309207,Selected in 1 of 5 outer folds.
Main,HRD33 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,1,5,0.2,0.8916469661150512,0.9079339828991848,Selected in 1 of 5 outer folds.
Main,HRD33 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,1,5,0.2,0.910362490149724,0.9404186795491144,Selected in 1 of 5 outer folds.
Main,HRD33 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,3,5,0.6,0.9108878381928028,0.9023220874483552,Selected in 3 of 5 outer folds.
Main,HRD42 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology + evidence-confidence controls,137,137,Compact biological annotation core; external evidence-confidence controls,No,No,No,2,5,0.4,0.8512,0.8439516129032258,Selected in 2 of 5 outer folds.
