alias	approved_symbol	hgnc_id	source
2C4D	MOB4	HGNC:17261	alias_symbol
2E4	KPTN	HGNC:6404	alias_symbol
2F1	KLRG1	HGNC:6380	alias_symbol
2G7	LINC01150	HGNC:49469	alias_symbol
2H9	HNRNPH3	HGNC:5043	alias_symbol
2HOR0202	SAP18	HGNC:10530	alias_symbol
2OST	UST	HGNC:17223	alias_symbol
2P1	NDUFAF3	HGNC:29918	alias_symbol
2PP2A	SET	HGNC:10760	alias_symbol
2R	TMEM97	HGNC:28106	alias_symbol
2_19	FAM3A	HGNC:13749	alias_symbol
2_21	FAM3B	HGNC:1253	alias_symbol
2_COP	COPG2	HGNC:2237	alias_symbol
2_HPCL	HACL1	HGNC:17856	alias_symbol
2_PDE	PDE12	HGNC:25386	alias_symbol
30K	CAPNS1	HGNC:1481	alias_symbol
30ST3A1	HS3ST3A1	HGNC:5196	alias_symbol
30ST3B1	HS3ST3B1	HGNC:5198	alias_symbol
323_A3	EPCAM	HGNC:11529	alias_symbol
354J5	ZPR1P1	HGNC:13052	alias_symbol
3635	PDE12	HGNC:25386	alias_symbol
37LRP	RPSA	HGNC:6502	alias_symbol
384D8_2	NCAPH2	HGNC:25071	alias_symbol
39K2	STAU2	HGNC:11371	alias_symbol
3ALPHA_HSD	DHRS9	HGNC:16888	alias_symbol
3D3	MTDH	HGNC:29608	alias_symbol
3G2	RBM6	HGNC:9903	alias_symbol
3H11AG	CEP290	HGNC:29021	alias_symbol
3M3	CCDC8	HGNC:25367	alias_symbol
3OST1	HS3ST1	HGNC:5194	alias_symbol
3OST2	HS3ST2	HGNC:5195	alias_symbol
3OST3A1	HS3ST3A1	HGNC:5196	alias_symbol
3OST3B1	HS3ST3B1	HGNC:5198	alias_symbol
3OST4	HS3ST4	HGNC:5200	alias_symbol
3PAP	MTMR12	HGNC:18191	alias_symbol
3PK	MAPKAPK3	HGNC:6888	alias_symbol
3_10C	CXCL8	HGNC:6025	alias_symbol
3_8_1_2	HCG26P1	HGNC:23995	alias_symbol
3_8_1_3	HCG26P2	HGNC:23996	alias_symbol
3_8_1_4	HCG26P3	HGNC:23997	alias_symbol
3_8_1_5	HCG26P4	HGNC:23998	alias_symbol
3_AHIF_1A	HIF1A_AS2	HGNC:43015	alias_symbol
3_ALPHA_HSD	AKR1C4	HGNC:387	alias_symbol
3_HAO	HAAO	HGNC:4796	alias_symbol
3_HEXO	ERI1	HGNC:23994	alias_symbol
3_OST_5	HS3ST5	HGNC:19419	alias_symbol
3_OY11_1	ZNF280A	HGNC:18597	alias_symbol
3_PAP	MTMR12	HGNC:18191	alias_symbol
4	IGBP1	HGNC:5461	alias_symbol
