hugo_symbol	entrez_gene_id	oncogene	tsg	source_url
ASCL1	429	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ASMTL	8623	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ASPSCR1	79058	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ASXL1	171023	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ASXL2	55252	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ASXL3	80816	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATF1	466	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATG5	9474	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATIC	471	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATM	472	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATMIN	23300	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATP1A1	476	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATP2B3	492	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATP6AP1	537	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATP6V1B2	526	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATR	545	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATRIP	84126	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATRX	546	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATXN2	6311	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ATXN7	6314	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AURKA	6790	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AURKB	9212	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AURKC	6795	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AVIL	10677	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AXIN1	8312	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AXIN2	8313	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
AXL	558	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
B2M	567	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BAALC	79870	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BABAM1	29086	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BABAM2	9577	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BACH1	571	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BACH2	60468	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BAP1	8314	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
