Endpoint tier,Endpoint,Representation,Model,Primary metric,Selected feature-set label,Selected total features,Selected Bio MAF features,Selected Bio MAF blocks,Includes mutational signatures,Includes exact driver genes,Includes optional burden controls,Outer folds selected,Outer folds evaluated,Fold selection fraction,Mean inner-validation score,Mean outer-fold score,Selection interpretation
Supplementary,HRD LOH,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,1,5,0.2,0.6457020001121956,0.6627410907312792,Selected in 1 of 5 outer folds.
Supplementary,HRD LOH,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,1,5,0.2,0.6790952894720278,0.638808677788254,Selected in 1 of 5 outer folds.
Supplementary,HRD LOH,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,4,5,0.8,0.6626853731436304,0.6661987435631234,Selected in 4 of 5 outer folds.
Supplementary,PARPi7,Bio MAF v4,Elastic net,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,4,5,0.8,0.38863886679111903,0.2930925433663813,Selected in 4 of 5 outer folds.
Supplementary,PARPi7,Bio MAF v4,Elastic net,Spearman r,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,1,5,0.2,0.3776129239172276,0.4077738330154445,Selected in 1 of 5 outer folds.
Supplementary,PARPi7,Bio MAF v4,XGBoost,Spearman r,Compact biology + evidence-confidence controls,137,137,Compact biological annotation core; external evidence-confidence controls,No,No,No,1,5,0.2,0.3995404221795363,0.2853037641562602,Selected in 1 of 5 outer folds.
Supplementary,PARPi7,Bio MAF v4,XGBoost,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,2,5,0.4,0.4175510559362188,0.4281824226803851,Selected in 2 of 5 outer folds.
Supplementary,PARPi7,Bio MAF v4,XGBoost,Spearman r,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,1,5,0.2,0.3218079471190296,0.3840549002086387,Selected in 1 of 5 outer folds.
Supplementary,PARPi7,Bio MAF v4,XGBoost,Spearman r,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,1,5,0.2,0.4543020022001682,0.201063442660055,Selected in 1 of 5 outer folds.
Supplementary,PARPi7,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,3,5,0.6,0.37654412110732166,0.3316645604224389,Selected in 3 of 5 outer folds.
Supplementary,PARPi7,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,2,5,0.4,0.36481452785616164,0.3985024077957813,Selected in 2 of 5 outer folds.
Supplementary,PARPi7,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,2,5,0.4,0.4049360307939276,0.4886812781665526,Selected in 2 of 5 outer folds.
Supplementary,PARPi7,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,2,5,0.4,0.4730161821109534,0.27456663676899645,Selected in 2 of 5 outer folds.
Supplementary,PARPi7,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,1,5,0.2,0.4930234581766704,0.3471900033519612,Selected in 1 of 5 outer folds.
Supplementary,eCARD,Bio MAF v4,Elastic net,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,5,5,1.0,0.5273041448130288,0.5370672453608858,Selected in 5 of 5 outer folds.
Supplementary,eCARD,Bio MAF v4,XGBoost,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,3,5,0.6,0.5433639034455057,0.5195825738364198,Selected in 3 of 5 outer folds.
Supplementary,eCARD,Bio MAF v4,XGBoost,Spearman r,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,1,5,0.2,0.5346512637777378,0.5218479180528517,Selected in 1 of 5 outer folds.
Supplementary,eCARD,Bio MAF v4,XGBoost,Spearman r,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,1,5,0.2,0.5581749833641086,0.6198362042764319,Selected in 1 of 5 outer folds.
Supplementary,eCARD,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,5,5,1.0,0.5785572119873938,0.5348739840815877,Selected in 5 of 5 outer folds.
Supplementary,eCARD,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,1,5,0.2,0.5585994650510779,0.5014272582924372,Selected in 1 of 5 outer folds.
Supplementary,eCARD,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,2,5,0.4,0.6104943443653121,0.5372870395619717,Selected in 2 of 5 outer folds.
Supplementary,eCARD,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,2,5,0.4,0.6102607006983763,0.5307681307836194,Selected in 2 of 5 outer folds.
Supplementary,PFI survival,Bio MAF v4,Cox PH,Harrell C-index,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,3,5,0.6,0.6326601915036422,0.614897895774539,Selected in 3 of 5 outer folds.
Supplementary,PFI survival,Bio MAF v4,Cox PH,Harrell C-index,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,1,5,0.2,0.6242877462751321,0.636792169118731,Selected in 1 of 5 outer folds.
Supplementary,PFI survival,Bio MAF v4,Cox PH,Harrell C-index,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,1,5,0.2,0.6331880608896043,0.5758755004757236,Selected in 1 of 5 outer folds.
Supplementary,PFI survival,Signatures + Bio MAF v4,Cox PH,Harrell C-index,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,2,5,0.4,0.622661080507514,0.6184324498703317,Selected in 2 of 5 outer folds.
Supplementary,PFI survival,Signatures + Bio MAF v4,Cox PH,Harrell C-index,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,3,5,0.6,0.6347713271285129,0.61686367660386,Selected in 3 of 5 outer folds.
