representation,learner,score,auroc,micro_auroc,accuracy,balanced_accuracy,macro_f1,cohen_kappa,top3_accuracy,top5_accuracy,runtime_seconds,selected_feature_count_median,selected_feature_sets
MAF_stack_only,xgboost,0.9586677215400228,0.9586677215400228,0.9639956631959546,0.6702272727272728,0.6677562414030127,0.6704461965997327,0.6500478879241143,0.8656818181818182,0.9286363636363636,4614.547,943.0,v4_full_core;v4_full_core_plus_optional_controls
MAF_stack_only,linear,0.9313453563569716,0.9313453563569716,0.9325053868529796,0.5889772727272727,0.5846918473732353,0.593489955303923,0.5638776306641369,0.8068181818181818,0.8936363636363637,5223.729,948.0,v4_full_core;v4_full_core_plus_optional_controls
standard_sbs96_id83,xgboost,0.9353987054872702,0.9353987054872702,0.943658959058286,0.5631818181818182,0.5398795555483545,0.5490794601501003,0.5347768062736917,0.8207954545454546,0.899090909090909,663.21,,
standard_sbs96_id83,linear,0.9183512598771202,0.9183512598771202,0.9218533723901696,0.5125,0.5311280077859434,0.5077062342197263,0.4863374147366981,0.7822727272727272,0.8789772727272728,1688.501,,
burden_only,xgboost,0.8080980706742714,0.8080980706742714,0.8354459724336667,0.28875,0.2540954256349878,0.2380119236303373,0.2378331081278268,0.5634090909090909,0.6984090909090909,63.099,,
burden_only,linear,0.7806988905158254,0.7806988905158254,0.7960544068073075,0.2448863636363636,0.2492069611753795,0.2105016915437985,0.2060123963140866,0.4921590909090909,0.6448863636363636,14.132,,
