sample,endpoint,muat_feature_1,muat_feature_2,muat_feature_3,muat_feature_4,muat_feature_5,muat_feature_6,muat_feature_7,muat_feature_8,muat_feature_9,muat_feature_10,muat_feature_11,muat_feature_12,muat_feature_13,muat_feature_14,muat_feature_15,muat_feature_16,muat_feature_17,muat_feature_18,muat_feature_19,muat_feature_20,muat_feature_21,muat_feature_22,muat_feature_23,muat_feature_24
TCGA-05-4396,cancer_type_top20,0.3435874283313751,0.371374249458313,0.0005277656018733,-0.3625755608081817,-0.2391580641269683,0.1873809248208999,-0.071899302303791,0.0584057420492172,0.2501760721206665,-0.5364322066307068,0.2037830650806427,-0.0705575048923492,0.1312572062015533,0.0257914550602436,-0.2686902582645416,0.2448025643825531,0.0744265988469123,-0.2079562246799469,-0.0150560680776834,-0.0252382345497608,-0.0117482878267765,0.4760189950466156,-0.0838698744773864,-0.3015730679035187
TCGA-06-0644,cancer_type_top20,0.0592826940119266,0.1149436831474304,0.1617886275053024,0.0659901350736618,-0.1037680432200431,0.0679265707731247,-0.1690534800291061,-0.1335727572441101,0.2059384137392044,-0.6216016411781311,0.1613326668739318,0.0299297459423542,0.2932331562042236,-0.2052719742059707,0.0518789403140544,-0.0913687571883201,0.1599995791912078,-0.2704075574874878,0.0896630138158798,0.0672643333673477,-0.0202584601938724,0.3267872631549835,0.20235376060009,-0.1323621571063995
TCGA-14-0787,cancer_type_top20,-0.228373497724533,-0.2440996468067169,-0.1591632813215255,-0.2219639420509338,0.0580037422478199,-0.077640414237976,-0.3587357401847839,-0.4079416394233703,0.1012704819440841,0.2578926384449005,0.2443232238292694,0.2986139059066772,0.1890307813882827,-0.0644242912530899,0.3872220516204834,-0.208226278424263,-0.1904066056013107,0.1504018008708953,0.076102428138256,0.0804694443941116,0.1203354075551033,0.4542599618434906,-0.2447459250688552,0.0452505089342594
TCGA-24-0980,cancer_type_top20,0.0458342768251895,0.3428613543510437,-0.030214536935091,-0.009610541164875,-0.0966699868440628,-0.0102099003270268,-0.0660949796438217,-0.0255305245518684,0.0145385861396789,-0.4001871347427368,0.1720188856124878,0.3167663216590881,0.2815788984298706,-0.1450424939393997,-0.0853055566549301,0.0168793052434921,0.1343289911746978,-0.2137030363082885,-0.0330744981765747,0.0143236052244901,-0.2200910300016403,0.448541909456253,0.264102429151535,-0.223115473985672
TCGA-24-2293,cancer_type_top20,0.1266623735427856,0.2299123257398605,0.0558143965899944,-0.0221126452088356,0.0504010319709777,-0.0551059730350971,-0.1151821613311767,-0.105784960091114,0.1029525846242904,-0.4903934001922607,0.2529918551445007,0.248483195900917,0.2058458030223846,-0.0031219653319567,0.01402023807168,0.1908195912837982,0.1428028792142868,-0.3312891125679016,-0.0625436007976532,-0.0147044360637664,-0.0132620073854923,0.5493941307067871,0.2195100635290146,-0.2557187080383301
TCGA-25-2408,cancer_type_top20,-0.2277879118919372,-0.3700498938560486,-0.1986175030469894,-0.3196865022182464,0.0318417139351367,-0.0187346152961254,-0.2964345216751098,-0.210154116153717,0.3089071810245514,0.278599202632904,0.1953084766864776,0.1847827732563018,0.1976067721843719,0.0352274551987648,0.297922134399414,-0.1750985383987426,-0.0834407955408096,0.0077682510018348,0.1823754757642746,0.134860098361969,0.1304605454206466,0.4124323427677154,0.0350540988147258,-0.0107522709295153
TCGA-26-5132,cancer_type_top20,-0.2016791254281997,-0.2193350195884704,-0.1928331404924392,-0.2730189263820648,-0.0297958068549633,0.0453798249363899,-0.4396949410438537,-0.3408702611923218,0.2275944054126739,0.2167741954326629,0.2262818217277526,0.0579461008310318,0.0528131797909736,-0.0328564569354057,0.1981472671031952,-0.2031434774398803,-0.0689571499824523,0.076321043074131,0.0994401350617408,0.028222307562828,0.2219191044569015,0.3929254114627838,-0.0653979927301406,-0.0380880944430828
TCGA-2Z-A9JD,cancer_type_top20,0.1829636693000793,0.2657458484172821,0.0174363069236278,0.0802762657403945,-0.0869339108467102,-0.0682987719774246,-0.1267576515674591,-0.0639348328113555,0.1878664642572403,-0.4026121199131012,0.1397485435009002,0.3151386976242065,0.2365948259830474,-0.0659307613968849,-0.1097597181797027,-0.0454936027526855,0.2137127965688705,-0.086476057767868,0.0221744608134031,-0.0103068202733993,-0.0750832110643386,0.3306201100349426,0.2822117805480957,-0.3182824552059173
TCGA-2Z-A9JG,cancer_type_top20,-0.2579466998577118,-0.2627882361412048,0.005901844240725,-0.2086029201745987,-0.0686743259429931,0.0069315806031227,-0.3471486270427704,-0.302013635635376,0.4779876470565796,0.2529249489307403,0.2417434453964233,-0.0376662909984588,-0.0090873669832944,-0.1226456463336944,0.1271550953388214,-0.2329550236463546,-0.0830471962690353,-0.0556313768029212,0.0231858771294355,0.2755637764930725,0.2910927534103393,0.3722529113292694,-0.0867921113967895,-0.0323084704577922
TCGA-44-2666,cancer_type_top20,-0.1593283116817474,-0.1038604825735092,-0.0953689739108085,-0.1730171293020248,-0.0040722154080867,0.0912245288491249,-0.3807236552238464,-0.2819305658340454,0.1945939064025879,0.1777874231338501,0.4099636971950531,0.0267269629985094,-0.0409905463457107,-0.1419996917247772,0.3461172580718994,-0.0421546548604965,-0.1305654495954513,-0.0813310369849205,0.0557329729199409,0.2337116003036499,0.2665853500366211,0.3419122993946075,0.0011942945420742,-0.0919268280267715
