sample,endpoint,muat_feature_1,muat_feature_2,muat_feature_3,muat_feature_4,muat_feature_5,muat_feature_6,muat_feature_7,muat_feature_8,muat_feature_9,muat_feature_10,muat_feature_11,muat_feature_12,muat_feature_13,muat_feature_14,muat_feature_15,muat_feature_16,muat_feature_17,muat_feature_18,muat_feature_19,muat_feature_20,muat_feature_21,muat_feature_22,muat_feature_23,muat_feature_24
TCGA-D7-6520,OS,-0.0814208984375,-2.587890625,4.02734375,-1.3388671875,-3.75,2.15625,-2.703125,0.9658203125,-1.185546875,3.412109375,-1.7333984375,-0.006916046142578125,2.302734375,-2.166015625,3.466796875,1.01171875,-3.02734375,-0.93896484375,-0.226806640625,-0.64892578125,4.94921875,2.638671875,3.462890625,-0.0234832763671875
TCGA-D7-6521,OS,-0.203125,-3.08203125,4.59375,-1.568359375,-4.34375,2.67578125,-3.04296875,1.0830078125,-1.546875,3.857421875,-2.0,0.07940673828125,2.673828125,-2.513671875,3.908203125,1.01953125,-3.3828125,-0.90185546875,-0.29443359375,-0.662109375,5.72265625,3.126953125,4.08203125,0.006740570068359375
TCGA-D7-6522,OS,-2.595703125,3.5703125,9.328125,2.380859375,-9.8828125,8.53125,0.943359375,1.1923828125,-1.1787109375,18.640625,-21.953125,14.3671875,5.1484375,-5.83984375,-19.578125,1.1435546875,14.515625,11.3125,4.359375,-18.5,-18.09375,19.359375,-16.03125,8.03125
TCGA-D7-6524,OS,0.32568359375,0.168212890625,0.0438232421875,0.436767578125,-0.379638671875,0.6826171875,0.385498046875,-0.787109375,0.1741943359375,-0.68896484375,0.505859375,-0.6455078125,-1.0205078125,-0.0731201171875,0.15869140625,-0.431640625,0.400390625,0.53173828125,0.7607421875,-0.9755859375,0.1375732421875,0.1881103515625,0.53564453125,-0.31787109375
TCGA-D7-6525,OS,-2.544921875,3.5,9.171875,2.255859375,-9.84375,8.453125,0.90576171875,1.2392578125,-1.2529296875,18.453125,-21.703125,14.203125,5.14453125,-5.7890625,-19.296875,1.095703125,14.421875,11.2890625,4.3828125,-18.40625,-17.953125,19.296875,-15.7890625,7.94921875
TCGA-D7-6526,OS,0.278564453125,0.117919921875,-0.00978851318359375,0.485107421875,-0.35498046875,0.7607421875,0.27392578125,-0.83203125,0.1234130859375,-0.63916015625,0.64453125,-0.7080078125,-0.998046875,0.2010498046875,0.1285400390625,-0.466796875,0.50146484375,0.62255859375,0.95751953125,-0.916015625,0.13671875,0.06732177734375,0.68505859375,-0.3291015625
TCGA-D7-6527,OS,-2.59765625,3.53125,9.28125,2.251953125,-9.875,8.453125,0.900390625,1.2880859375,-1.2236328125,18.5625,-21.859375,14.2734375,5.15234375,-5.83984375,-19.421875,1.052734375,14.4296875,11.3203125,4.41015625,-18.53125,-18.078125,19.390625,-15.8359375,8.03125
TCGA-D7-6528,OS,-4.52734375,-14.2578125,-3.0,-9.4296875,17.96875,13.046875,2.455078125,-22.984375,16.8125,-10.953125,6.33984375,3.7578125,7.5,16.484375,16.34375,-5.3828125,9.7421875,-12.2109375,5.5859375,-10.5234375,-0.1697998046875,-12.0859375,-3.21484375,-4.3671875
TCGA-D7-6815,OS,-2.5,3.421875,9.1171875,2.30078125,-9.78125,8.3515625,0.98291015625,1.1962890625,-1.228515625,18.34375,-21.5,14.0625,5.02734375,-5.7734375,-19.1875,1.1279296875,14.3046875,11.1796875,4.38671875,-18.25,-17.796875,19.078125,-15.6171875,7.85546875
TCGA-D7-6817,OS,-2.462890625,3.427734375,9.2578125,2.3125,-9.8828125,8.453125,0.99658203125,1.228515625,-1.1923828125,18.546875,-21.6875,14.1875,5.09765625,-5.7734375,-19.390625,1.1337890625,14.4296875,11.25,4.37109375,-18.421875,-17.921875,19.265625,-15.7421875,7.9296875
TCGA-D7-6818,OS,-4.59375,-14.3125,-3.021484375,-9.4921875,18.0625,13.171875,2.537109375,-23.15625,16.875,-11.0078125,6.38671875,3.794921875,7.5546875,16.609375,16.40625,-5.40625,9.84375,-12.296875,5.62890625,-10.578125,-0.167724609375,-12.15625,-3.265625,-4.41796875
TCGA-D7-6820,OS,-4.57421875,-14.234375,-2.97265625,-9.3828125,17.875,13.109375,2.505859375,-23.03125,16.75,-10.9140625,6.296875,3.7109375,7.46875,16.5625,16.265625,-5.28515625,9.765625,-12.1953125,5.6015625,-10.515625,-0.1536865234375,-12.0859375,-3.240234375,-4.37109375
TCGA-D7-6822,OS,-4.55859375,-14.234375,-2.970703125,-9.4296875,17.90625,13.0546875,2.48046875,-23.0,16.78125,-10.921875,6.34375,3.74609375,7.48828125,16.484375,16.328125,-5.34765625,9.7421875,-12.1875,5.640625,-10.515625,-0.1881103515625,-12.0859375,-3.2265625,-4.3984375
TCGA-D7-8570,OS,-0.1199951171875,-2.853515625,4.6015625,-1.5361328125,-4.18359375,2.404296875,-3.095703125,0.962890625,-1.4345703125,3.8359375,-1.9560546875,0.1265869140625,2.49609375,-2.525390625,3.884765625,1.099609375,-3.3984375,-0.9541015625,-0.250732421875,-0.67431640625,5.640625,2.982421875,3.986328125,0.1121826171875
TCGA-D7-8572,OS,1.01171875,3.962890625,-4.4140625,-5.45703125,3.609375,-3.357421875,1.6591796875,-2.248046875,0.023834228515625,-3.51171875,-0.32421875,-4.0625,-3.509765625,5.75,1.994140625,2.583984375,-1.2470703125,-1.1826171875,1.712890625,-0.9677734375,-1.048828125,-3.37109375,3.533203125,-1.7265625
TCGA-D7-8573,OS,0.3046875,0.1016845703125,0.049713134765625,0.43896484375,-0.42626953125,0.65625,0.333740234375,-0.7802734375,0.11871337890625,-0.60546875,0.63134765625,-0.6552734375,-1.0166015625,0.018768310546875,0.12420654296875,-0.54248046875,0.56103515625,0.54443359375,0.84033203125,-0.9755859375,0.1783447265625,0.1661376953125,0.63037109375,-0.326171875
TCGA-D7-8574,OS,0.344482421875,0.200927734375,0.07421875,0.4560546875,-0.397216796875,0.5966796875,0.242431640625,-0.71337890625,0.2030029296875,-0.64892578125,0.541015625,-0.62451171875,-0.9130859375,0.0657958984375,0.320556640625,-0.483642578125,0.56103515625,0.5908203125,0.67919921875,-1.0888671875,0.046539306640625,0.136962890625,0.50439453125,-0.314453125
TCGA-D7-8575,OS,-0.161376953125,-2.373046875,3.814453125,-1.212890625,-3.59765625,2.046875,-2.609375,0.89794921875,-1.078125,3.123046875,-1.63671875,0.1265869140625,2.12109375,-2.064453125,3.1875,1.029296875,-2.74609375,-0.79736328125,-0.060546875,-0.42919921875,4.734375,2.46875,3.333984375,-0.0047760009765625
