representation,endpoint,task,fold,outer_train_n,outer_test_n,inner_train_n,inner_val_n,selected_feature_set,selected_feature_count,selected_inner_score,outer_fold_score,selected_params_json,candidate_feature_sets,candidate_param_count
bio_v4_nested_fs_linear,HRD_TAI,regression,1,386,386,289,97,v4_full_core_plus_optional_controls,948,0.6448808500628175,0.6604054937379228,"{""alpha"": 0.1, ""l1_ratio"": 0.5}","v4_compact_biology_only,v4_compact_plus_driver_evidence_tiers,v4_compact_plus_hotspot_summary,v4_compact_plus_exact_driver_genes,v4_full_core,v4_full_core_plus_optional_controls",6
bio_v4_nested_fs_linear,HRD_TAI,regression,2,386,386,289,97,v4_compact_plus_driver_evidence_tiers,137,0.7209792517438169,0.6221652267637541,"{""alpha"": 0.1, ""l1_ratio"": 0.5}","v4_compact_biology_only,v4_compact_plus_driver_evidence_tiers,v4_compact_plus_hotspot_summary,v4_compact_plus_exact_driver_genes,v4_full_core,v4_full_core_plus_optional_controls",6
