feature,mean_abs_shap
driver_gene_functional_event_log_count__KEAP1,0.007229496
driver_gene_functional_event_log_count__ATRX,0.0071896277
oncokb_role_vep_high_or_moderate_impact_log_count__oncogene_and_tumor_suppressor,0.0067418218
vep_consequence_fraction__start_lost,0.006740626
driver_gene_functional_event_log_count__NOTCH1,0.006735181
driver_gene_functional_event_log_count__CDKN2A,0.006729995
driver_gene_role_matched_event_log_count__PTEN,0.0066200853
driver_evidence_unique_high_or_moderate_genes_log_count__source_count_3,0.0065364637
vep_consequence_count__downstream_gene_variant,0.0065302528
driver_gene_functional_event_log_count__CIC,0.0063774176
driver_gene_functional_event_log_count__NFE2L2,0.005882705
driver_gene_functional_event_log_count__PPP2R1A,0.005528209
driver_evidence_high_impact_log_count__source_count_1,0.0053402847
vep_consequence_count__non_coding_transcript_exon_variant,0.0052011255
driver_gene_role_matched_event_log_count__NF1,0.005160027
driver_gene_functional_event_log_count__CDH1,0.0051332596
driver_gene_functional_event_log_count__RB1,0.0048794276
vep_biotype_count__lncrna,0.0047140084
oncokb_role_vep_high_impact_log_count__oncogene,0.0046595614
vep_consequence_count__upstream_gene_variant,0.0044143833
driver_evidence_high_impact_log_count__source_count_2,0.004408188
driver_gene_role_matched_event_log_count__PBRM1,0.0043082773
driver_gene_functional_event_log_count__EP300,0.004302615
driver_gene_functional_event_log_count__FBXW7,0.0042677587
vep_biotype_count__processed_transcript,0.0042172996
driver_gene_functional_event_log_count__STK11,0.0038456358
driver_gene_functional_event_log_count__BAP1,0.0038292166
driver_gene_role_matched_event_log_count__GATA3,0.003808428
driver_gene_role_matched_event_log_count__KDM6A,0.0037870996
driver_gene_role_matched_event_log_count__FAT1,0.003714783
driver_gene_role_matched_event_log_count__CDH1,0.0036604933
driver_gene_functional_event_log_count__KDM6A,0.0035948907
driver_gene_functional_event_log_count__GATA3,0.0033107288
driver_gene_functional_event_log_count__KMT2C,0.0031099024
driver_gene_functional_event_log_count__CHD4,0.002931716
driver_gene_functional_event_log_count__NSD1,0.0029159957
oncokb_role_unique_high_or_moderate_impact_genes_log_count__oncogene_and_tumor_suppressor,0.0029056552
vep_consequence_fraction__stop_lost,0.0028540257
vep_consequence_fraction__stop_retained_variant,0.0028153888
driver_gene_functional_event_log_count__ARHGAP35,0.0026686806
driver_gene_role_matched_event_log_count__VHL,0.0025923192
driver_evidence_high_impact_log_count__source_count_3,0.0025541
driver_gene_functional_event_log_count__CASP8,0.0024749425
vep_consequence_fraction__inframe_insertion,0.0024629186
driver_gene_role_matched_event_log_count__CDKN2A,0.0024270613
driver_gene_functional_event_log_count__SOX9,0.0024243982
driver_gene_functional_event_log_count__FOXA1,0.0024027422
driver_gene_functional_event_log_count__MAP3K1,0.002224787
driver_gene_role_matched_event_log_count__NSD1,0.0021326938
driver_gene_functional_event_log_count__PTPRD,0.0020857805
driver_gene_functional_event_log_count__FGFR3,0.002074182
driver_gene_functional_event_log_count__ZFHX3,0.0020737245
driver_gene_role_matched_event_log_count__AXIN1,0.0020300262
driver_gene_role_matched_event_log_count__KMT2C,0.0020248902
driver_gene_functional_event_log_count__KIT,0.0019988515
driver_gene_functional_event_log_count__MTOR,0.0019019784
driver_gene_role_matched_event_log_count__ARHGAP35,0.0018871889
driver_gene_functional_event_log_count__SMAD4,0.0018231738
driver_gene_functional_event_log_count__CREBBP,0.00181553
vep_canonical_count__unknown,0.0017708977
driver_gene_functional_event_log_count__ERBB2,0.0017529133
vep_consequence_count__start_lost,0.0016937032
vep_biotype_count__nmd,0.0016231148
driver_gene_functional_event_log_count__PREX2,0.0015934212
driver_gene_functional_event_log_count__IDH2,0.001568388
oncokb_role_vep_high_impact_log_count__oncogene_and_tumor_suppressor,0.0015526629
driver_gene_functional_event_log_count__STAG2,0.0015001945
driver_gene_functional_event_log_count__ERBB4,0.0013561324
driver_gene_functional_event_log_count__PTPRT,0.0013132931
driver_gene_functional_event_log_count__TSC1,0.001270357
driver_gene_functional_event_log_count__FAT1,0.0011941318
vep_biotype_fraction__retained_intron,0.0011019148
driver_gene_functional_event_log_count__MET,0.0009395474
driver_gene_functional_event_log_count__CDKN1A,0.0009128812
driver_gene_role_matched_event_log_count__HRAS,0.0008856449
driver_gene_role_matched_event_log_count__CDKN1A,0.00087428396
driver_gene_role_matched_event_log_count__MAP3K1,0.00084852974
driver_gene_functional_event_log_count__HRAS,0.00082500436
driver_gene_functional_event_log_count__ATM,0.0008062769
driver_gene_functional_event_log_count__RNF43,0.00079222664
driver_gene_functional_event_log_count__MGA,0.00076856697
driver_gene_role_matched_event_log_count__RBM10,0.0007448642
driver_gene_role_matched_event_log_count__BAP1,0.00073782535
driver_gene_functional_event_log_count__MAP2K4,0.0007355092
driver_gene_functional_event_log_count__TBX3,0.00072127255
driver_gene_functional_event_log_count__SPEN,0.00070851675
driver_gene_functional_event_log_count__ACVR2A,0.0006829041
driver_gene_functional_event_log_count__SETD2,0.000661044
driver_gene_functional_event_log_count__BRCA2,0.0006497794
driver_gene_functional_event_log_count__TGFBR2,0.00064006425
driver_gene_functional_event_log_count__RUNX1,0.00061985373
vep_biotype_count__retained_intron,0.00059993594
driver_gene_role_matched_event_log_count__BCOR,0.0005890646
driver_gene_role_matched_event_log_count__MGA,0.0005856396
driver_gene_role_matched_event_log_count__SETD2,0.00056261563
driver_gene_role_matched_event_log_count__STAG2,0.0005460127
driver_gene_functional_event_log_count__CYLD,0.00054027315
driver_gene_functional_event_log_count__LZTR1,0.00053732906
driver_gene_functional_event_log_count__CDH11,0.00053728506
vep_consequence_count__inframe_insertion,0.00052888255
driver_gene_role_matched_event_log_count__RNF43,0.0004347128
driver_gene_role_matched_event_log_count__CREBBP,0.00043150666
driver_gene_role_matched_event_log_count__FGFR2,0.00040407243
vep_consequence_count__stop_lost,0.00039192307
driver_gene_functional_event_log_count__DROSHA,0.00038076806
driver_gene_functional_event_log_count__GRIN2A,0.00037719
driver_gene_functional_event_log_count__MED12,0.00037302394
driver_gene_functional_event_log_count__ERCC2,0.00035525873
driver_gene_functional_event_log_count__HLA_B,0.00035447357
vep_consequence_count__stop_retained_variant,0.00031791322
driver_gene_role_matched_event_log_count__PTPN11,0.0003082884
driver_gene_functional_event_log_count__SETBP1,0.00030225058
driver_gene_functional_event_log_count__SMARCA4,0.00029767823
driver_gene_functional_event_log_count__CTCF,0.00029179908
driver_gene_functional_event_log_count__DNMT3A,0.00028693848
driver_gene_role_matched_event_log_count__PIK3R1,0.00028323478
driver_gene_role_matched_event_log_count__EP300,0.00027641954
vep_consequence_fraction__mature_mirna_variant,0.0002684573
driver_gene_role_matched_event_log_count__KMT2A,0.0002333254
driver_gene_role_matched_event_log_count__TSC1,0.0002235994
driver_gene_functional_event_log_count__NCOR1,0.00021356746
driver_gene_role_matched_event_log_count__STK11,0.00020432535
driver_gene_functional_event_log_count__RHOA,0.0001640004
driver_gene_functional_event_log_count__MECOM,0.00015676722
driver_gene_functional_event_log_count__HLA_A,0.00015395356
driver_gene_functional_event_log_count__ERBB3,0.00014751522
driver_gene_role_matched_event_log_count__NCOR1,0.00014725252
driver_gene_functional_event_log_count__AXIN1,0.00014166384
driver_gene_role_matched_event_log_count__KEAP1,0.00013397759
driver_gene_functional_event_log_count__RBM10,0.0001299425
driver_gene_functional_event_log_count__RUNX1T1,0.00012711837
driver_gene_functional_event_log_count__RXRA,0.00012025581
driver_gene_functional_event_log_count__CAMTA1,0.00011731689
driver_gene_functional_event_log_count__KMT2A,0.000111084286
driver_gene_functional_event_log_count__PIK3CB,0.00011057374
driver_gene_functional_event_log_count__BCL9L,0.000108815446
driver_gene_functional_event_log_count__ANKRD11,0.00010863457
driver_gene_role_matched_event_log_count__SMARCA4,0.000107591746
driver_gene_functional_event_log_count__SF3B1,0.00010729252
driver_gene_role_matched_event_log_count__SOX9,0.00010518822
driver_gene_functional_event_log_count__FGFR2,0.00010050282
driver_gene_role_matched_event_log_count__NOTCH1,9.985272e-05
driver_gene_functional_event_log_count__CDK12,9.96443e-05
driver_gene_functional_event_log_count__BCOR,9.496505e-05
driver_gene_functional_event_log_count__RANBP2,9.273696e-05
driver_gene_functional_event_log_count__PTPN13,9.101118e-05
driver_gene_functional_event_log_count__BCORL1,9.0920745e-05
driver_gene_functional_event_log_count__NCOR2,9.048432e-05
driver_gene_functional_event_log_count__NOTCH2,8.828317e-05
driver_gene_functional_event_log_count__PTPRS,8.740538e-05
driver_gene_functional_event_log_count__MLH1,8.3085084e-05
driver_gene_functional_event_log_count__CBFB,8.102549e-05
driver_gene_functional_event_log_count__AR,7.8845296e-05
driver_gene_role_matched_event_log_count__CTCF,7.096783e-05
driver_gene_role_matched_event_log_count__AKT1,6.88135e-05
driver_gene_functional_event_log_count__TSC2,6.71314e-05
vep_consequence_fraction__protein_altering_variant,6.310744e-05
driver_gene_functional_event_log_count__BRD4,6.205488e-05
driver_gene_functional_event_log_count__PDGFRA,5.8912206e-05
driver_gene_role_matched_event_log_count__ACVR2A,5.7572623e-05
driver_gene_role_matched_event_log_count__RUNX1,5.7079393e-05
driver_gene_functional_event_log_count__MYH11,5.491467e-05
driver_gene_functional_event_log_count__CACNA1D,5.486123e-05
driver_gene_functional_event_log_count__ASXL2,5.385349e-05
driver_gene_functional_event_log_count__EPHA3,5.1752253e-05
driver_gene_role_matched_event_log_count__FBXW7,5.1599898e-05
driver_gene_role_matched_event_log_count__KDM5A,5.0913666e-05
driver_gene_role_matched_event_log_count__MDC1,4.3230273e-05
driver_gene_functional_event_log_count__MSH2,4.0063882e-05
driver_gene_functional_event_log_count__POLE,3.9988165e-05
driver_gene_functional_event_log_count__EPHA7,3.9651524e-05
driver_gene_functional_event_log_count__PLCG1,3.9082697e-05
vep_consequence_fraction__coding_sequence_variant,3.578315e-05
driver_gene_role_matched_event_log_count__PRKCI,3.5494948e-05
driver_gene_role_matched_event_log_count__BRCA2,3.4485933e-05
driver_gene_functional_event_log_count__RAD50,3.3990695e-05
driver_gene_functional_event_log_count__PTPN11,3.2616696e-05
driver_gene_role_matched_event_log_count__ARID2,3.2467462e-05
driver_gene_functional_event_log_count__CSF1R,3.1574447e-05
driver_gene_role_matched_event_log_count__BRCA1,3.1489337e-05
driver_gene_functional_event_log_count__NTRK2,3.0082434e-05
driver_gene_functional_event_log_count__DDX3X,2.887162e-05
driver_gene_functional_event_log_count__ALK,2.8567629e-05
driver_gene_functional_event_log_count__INPPL1,2.8482087e-05
driver_gene_functional_event_log_count__BCR,2.8095297e-05
driver_gene_functional_event_log_count__ASXL1,2.7817798e-05
driver_gene_functional_event_log_count__LATS1,2.7729222e-05
driver_gene_role_matched_event_log_count__HLA_B,2.7665346e-05
driver_gene_role_matched_event_log_count__BRD4,2.7134713e-05
driver_gene_functional_event_log_count__TCF7L2,2.7104028e-05
driver_gene_role_matched_event_log_count__ARID1B,2.6106714e-05
driver_gene_functional_event_log_count__BRCA1,2.5941483e-05
driver_gene_functional_event_log_count__CLIP1,2.564671e-05
driver_gene_functional_event_log_count__PRKCI,2.5118783e-05
driver_gene_functional_event_log_count__HGF,2.4902294e-05
driver_gene_role_matched_event_log_count__AFF4,2.4881883e-05
driver_gene_functional_event_log_count__FLT3,2.351583e-05
driver_gene_functional_event_log_count__CARD11,2.2812075e-05
driver_gene_functional_event_log_count__FLT4,2.2648248e-05
driver_gene_functional_event_log_count__DNMT3B,2.249463e-05
driver_gene_functional_event_log_count__DIS3,2.2384178e-05
driver_gene_functional_event_log_count__NUP98,2.1314047e-05
driver_gene_functional_event_log_count__ROS1,2.0916932e-05
driver_gene_functional_event_log_count__MDC1,2.0913982e-05
driver_gene_functional_event_log_count__PML,2.0381163e-05
driver_gene_functional_event_log_count__CUX1,1.9333049e-05
driver_gene_functional_event_log_count__ARHGEF12,1.9081159e-05
driver_gene_functional_event_log_count__UBR5,1.8974659e-05
driver_gene_functional_event_log_count__PARP1,1.8851513e-05
driver_gene_role_matched_event_log_count__TBX3,1.7927632e-05
driver_gene_functional_event_log_count__STAT5B,1.7730656e-05
driver_gene_functional_event_log_count__NFATC2,1.7693425e-05
driver_gene_functional_event_log_count__DDR2,1.72047e-05
driver_gene_functional_event_log_count__ATR,1.7186008e-05
driver_gene_functional_event_log_count__COL2A1,1.7058786e-05
driver_gene_functional_event_log_count__TET1,1.5690024e-05
driver_gene_functional_event_log_count__CIITA,1.519848e-05
driver_gene_role_matched_event_log_count__RPTOR,1.4967048e-05
driver_gene_functional_event_log_count__RPTOR,1.3837543e-05
driver_gene_functional_event_log_count__NTRK3,1.2903046e-05
driver_gene_role_matched_event_log_count__SETBP1,1.2216813e-05
driver_gene_functional_event_log_count__ERG,1.0128407e-05
driver_gene_functional_event_log_count__MSH6,9.160178e-06
driver_gene_functional_event_log_count__NSD3,0.0
driver_gene_functional_event_log_count__NUP214,0.0
driver_gene_role_matched_event_log_count__NSD3,0.0
driver_gene_functional_event_log_count__NTRK1,0.0
driver_gene_role_matched_event_log_count__NUP214,0.0
driver_gene_role_matched_event_log_count__NSD2,0.0
driver_gene_role_matched_event_log_count__NTRK3,0.0
driver_gene_role_matched_event_log_count__NTRK1,0.0
driver_gene_role_matched_event_log_count__NTRK2,0.0
driver_gene_functional_event_log_count__TNFRSF14,0.0
driver_gene_functional_event_log_count__NUP93,0.0
driver_gene_functional_event_log_count__PDCD1LG2,0.0
driver_gene_role_matched_event_log_count__PICALM,0.0
driver_gene_functional_event_log_count__PICALM,0.0
driver_gene_role_matched_event_log_count__PHF6,0.0
driver_gene_functional_event_log_count__PHF6,0.0
driver_gene_role_matched_event_log_count__PGR,0.0
driver_gene_functional_event_log_count__PGR,0.0
driver_gene_role_matched_event_log_count__PDPK1,0.0
driver_gene_functional_event_log_count__PDPK1,0.0
driver_gene_role_matched_event_log_count__PDGFRB,0.0
driver_gene_functional_event_log_count__TNFAIP3,0.0
driver_gene_functional_event_log_count__PDGFRB,0.0
driver_gene_role_matched_event_log_count__PDGFRA,0.0
driver_gene_role_matched_event_log_count__PDCD1LG2,0.0
driver_gene_role_matched_event_log_count__TNFAIP3,0.0
driver_gene_role_matched_event_log_count__TOP1,0.0
driver_gene_role_matched_event_log_count__PAX5,0.0
driver_gene_functional_event_log_count__PAX5,0.0
driver_gene_role_matched_event_log_count__PARP1,0.0
driver_gene_role_matched_event_log_count__PALB2,0.0
