setting,reg_alpha,reg_lambda,colsample_bytree,min_child_weight,max_depth,inner_score_mean,inner_score_sd,n_features_mean
1,0.0,1.0,0.8,1,6,0.6451016792381282,0.010897558814758969,661.8
2,0.1,1.0,0.6,3,5,0.646907867291414,0.008483671046764273,426.6
3,1.0,2.0,0.5,5,4,0.6489892814927447,0.004707271592915314,317.2
4,5.0,5.0,0.4,10,4,0.6385181700183882,0.006853067229828727,216.4
5,10.0,10.0,0.3,20,3,0.6152967948129091,0.009337415408206583,177.0
6,25.0,20.0,0.3,30,3,0.5670286734768013,0.010308802500223252,151.6
