feature,mean_abs_shap
driver_gene_role_matched_event_log_count__NCOR1,0.0
driver_gene_functional_event_log_count__NCOR2,0.0
driver_gene_role_matched_event_log_count__NCOR2,0.0
driver_gene_functional_event_log_count__NF1,0.0
driver_gene_functional_event_log_count__NTRK3,0.0
driver_gene_functional_event_log_count__NF2,0.0
driver_gene_role_matched_event_log_count__NF2,0.0
driver_gene_functional_event_log_count__NFATC2,0.0
driver_gene_role_matched_event_log_count__NFATC2,0.0
driver_gene_functional_event_log_count__NFE2L2,0.0
driver_gene_role_matched_event_log_count__NFE2L2,0.0
driver_gene_functional_event_log_count__NFKBIE,0.0
driver_gene_role_matched_event_log_count__NFKBIE,0.0
driver_gene_functional_event_log_count__NKX2_1,0.0
driver_gene_role_matched_event_log_count__NKX2_1,0.0
driver_gene_functional_event_log_count__NOTCH1,0.0
driver_gene_role_matched_event_log_count__NOTCH1,0.0
driver_gene_functional_event_log_count__NOTCH2,0.0
driver_gene_role_matched_event_log_count__NOTCH2,0.0
driver_gene_role_matched_event_log_count__NF1,0.0
driver_gene_functional_event_log_count__MYD88,0.0
driver_gene_functional_event_log_count__PBRM1,0.0
driver_gene_role_matched_event_log_count__PBRM1,0.0
driver_gene_functional_event_log_count__PDCD1LG2,0.0
driver_gene_role_matched_event_log_count__PDCD1LG2,0.0
driver_gene_functional_event_log_count__PDGFRA,0.0
driver_gene_role_matched_event_log_count__PDGFRA,0.0
driver_gene_functional_event_log_count__PDGFRB,0.0
driver_gene_role_matched_event_log_count__PDGFRB,0.0
driver_gene_functional_event_log_count__PDPK1,0.0
driver_gene_role_matched_event_log_count__PDPK1,0.0
driver_gene_functional_event_log_count__PGR,0.0
driver_gene_role_matched_event_log_count__P2RY8,0.0
driver_gene_functional_event_log_count__PIK3R1,0.0
driver_gene_role_matched_event_log_count__PGR,0.0
driver_gene_functional_event_log_count__PHF6,0.0
driver_gene_role_matched_event_log_count__PHF6,0.0
driver_gene_functional_event_log_count__PICALM,0.0
driver_gene_role_matched_event_log_count__PIK3CD,0.0
driver_gene_role_matched_event_log_count__PICALM,0.0
driver_gene_functional_event_log_count__PIK3CA,0.0
driver_gene_role_matched_event_log_count__PIK3CA,0.0
driver_gene_functional_event_log_count__PIK3CB,0.0
driver_gene_role_matched_event_log_count__PIK3CB,0.0
driver_gene_functional_event_log_count__PIK3CD,0.0
driver_gene_role_matched_event_log_count__PIK3R1,0.0
driver_gene_functional_event_log_count__NUP214,0.0
driver_gene_role_matched_event_log_count__NUP214,0.0
driver_gene_functional_event_log_count__NUP93,0.0
driver_gene_role_matched_event_log_count__NUP93,0.0
driver_gene_functional_event_log_count__PMS2,0.0
