endpoint,sample,muat_feature_1,muat_feature_2,muat_feature_3,muat_feature_4,muat_feature_5,muat_feature_6,muat_feature_7,muat_feature_8,muat_feature_9,muat_feature_10,muat_feature_11,muat_feature_12,muat_feature_13,muat_feature_14,muat_feature_15,muat_feature_16,muat_feature_17,muat_feature_18,muat_feature_19,muat_feature_20,muat_feature_21,muat_feature_22,muat_feature_23,muat_feature_24
tcga_20_type,TCGA-05-4396,-0.37523043155670166,-0.29627516865730286,-0.40543779730796814,-0.061020202934741974,-0.6518086791038513,-0.7409696578979492,0.5496538877487183,0.22335253655910492,0.06020526587963104,-0.24680210649967194,0.27504241466522217,-0.21650832891464233,0.31973403692245483,-0.06763698905706406,-0.13617408275604248,-0.5615381002426147,-0.5222406387329102,-0.18300509452819824,0.09181774407625198,-0.7257273197174072,0.03808178752660751,-0.14341644942760468,-0.492387056350708,0.15219585597515106
tcga_20_type,TCGA-06-0644,-0.2715824246406555,-0.04844710975885391,-0.15672567486763,0.14301595091819763,-0.47292348742485046,-0.6959183812141418,0.2897605895996094,0.16905760765075684,0.008631691336631775,-0.019028136506676674,0.3834289312362671,-0.055996786803007126,0.17897124588489532,-0.02850649505853653,-0.027980972081422806,-0.5253084301948547,-0.3791255056858063,-0.2449384480714798,0.012237511575222015,-0.6319514513015747,0.41604316234588623,-0.11977195739746094,-0.18736116588115692,-0.04946838691830635
tcga_20_type,TCGA-14-0787,-0.11359228193759918,0.28428441286087036,0.01293937861919403,-0.09704989939928055,-0.19962456822395325,-0.0013230890035629272,0.3907381594181061,-0.1048266589641571,-0.165947824716568,-0.3858889043331146,0.07023146748542786,0.3537359833717346,0.26952290534973145,0.11942944675683975,-0.19449979066848755,-0.36182647943496704,-0.5199429988861084,-0.14884808659553528,0.07095956802368164,-0.020370371639728546,0.2919085919857025,-0.0734110176563263,0.07114961743354797,0.2097788006067276
tcga_20_type,TCGA-24-0980,-0.23427234590053558,-0.09137485921382904,-0.23799216747283936,0.10938023775815964,-0.5307666063308716,-0.8537763953208923,0.17877742648124695,0.05414067953824997,-0.07965129613876343,0.00017556408420205116,0.3478063642978668,-0.007498897612094879,0.14394623041152954,-0.01770494133234024,-0.07547281682491302,-0.3047020435333252,-0.432413786649704,-0.21490263938903809,0.13993129134178162,-0.5110440850257874,0.2472318410873413,0.030268333852291107,-0.2638915479183197,0.03954121470451355
tcga_20_type,TCGA-24-2293,-0.28963661193847656,-0.09376288950443268,-0.24295228719711304,0.1704648733139038,-0.6430692076683044,-0.6666120886802673,0.2674247622489929,0.075984425842762,-0.13922125101089478,-0.02796713449060917,0.23682960867881775,-0.2085430771112442,0.13307102024555206,0.047426749020814896,-0.06339015066623688,-0.20297934114933014,-0.4850240647792816,-0.21810516715049744,0.06524064391851425,-0.57069993019104,0.2814653515815735,-0.01970537006855011,-0.22017207741737366,-0.08542176336050034
tcga_20_type,TCGA-25-2408,0.005402863025665283,0.18138976395130157,0.15942932665348053,-0.01545298844575882,-0.07107844203710556,0.12257566303014755,0.34908559918403625,0.17771311104297638,-0.4131605923175812,-0.3498624563217163,-0.1544310301542282,0.42704325914382935,0.4715851843357086,0.38530969619750977,-0.21943625807762146,-0.08330458402633667,-0.6230834722518921,-0.40834906697273254,-0.03267563879489899,-0.32241353392601013,0.3191516399383545,0.11237457394599915,0.22996781766414642,0.24135296046733856
tcga_20_type,TCGA-26-5132,-0.21165475249290466,0.1470746248960495,0.09968063235282898,-0.06837252527475357,-0.11948143690824509,-0.018349863588809967,0.1527971625328064,-0.0012668222188949585,-0.2885741889476776,-0.3866170644760132,0.06467902660369873,0.4077984094619751,0.33270329236984253,0.2784789502620697,-0.17672336101531982,-0.3151308298110962,-0.5250322818756104,-0.15691815316677094,0.14338022470474243,-0.12984928488731384,0.2631908655166626,-0.022591717541217804,0.07493209838867188,0.28028538823127747
tcga_20_type,TCGA-2Z-A9JD,-0.2679901123046875,-0.06373558938503265,-0.26523858308792114,0.2451636791229248,-0.48568275570869446,-0.8321489095687866,0.20503678917884827,0.10781282186508179,-0.19249533116817474,0.044677186757326126,0.19395703077316284,-0.1292780339717865,0.18901632726192474,0.04305991157889366,-0.05222541466355324,-0.2880478501319885,-0.46770793199539185,-0.09374134987592697,0.05429307371377945,-0.6467573642730713,0.18630613386631012,0.09627293050289154,-0.30702176690101624,0.04316708445549011
tcga_20_type,TCGA-2Z-A9JG,-0.07405563443899155,0.19696252048015594,0.2184838354587555,0.09801886230707169,0.001805875450372696,-0.11440853774547577,0.13550086319446564,0.14096373319625854,-0.2926587462425232,-0.3828924298286438,-0.1079045832157135,0.3067929744720459,0.34453925490379333,0.2146952748298645,-0.20859959721565247,-0.011753581464290619,-0.5714064240455627,-0.21071365475654602,0.07393112778663635,-0.16824139654636383,0.30121439695358276,-0.02705642580986023,0.07336746156215668,0.25285857915878296
tcga_20_type,TCGA-44-2666,-0.22311514616012573,0.1274072378873825,0.1302286982536316,0.0095672607421875,-0.2500033676624298,-0.005763038992881775,0.2783373296260834,-0.04443445801734924,-0.26054149866104126,-0.2815569341182709,0.09244680404663086,0.23110602796077728,0.36589542031288147,-0.024355001747608185,-0.19901639223098755,-0.18537306785583496,-0.4793603718280792,-0.04957619309425354,-0.008249625563621521,-0.11406566202640533,0.22390910983085632,-0.09185738861560822,-0.008397754281759262,0.20898380875587463
