feature,total_gain,gain_rank,mean_abs_shap,shap_rank
vep_consequence_count__inframe_deletion,4.075776100158691,79,0.00034719036,84.0
vep_sift_fraction__tolerated,3.786709785461426,80,0.00059820054,70.0
driver_evidence_max_vaf_high_or_moderate_impact__source_count_2,3.7541885375976562,81,0.00037948205,80.0
driver_evidence_unique_high_or_moderate_genes_log_count__source_count_2,3.689861297607422,82,0.0003308404,85.0
vep_consequence_fraction__non_coding_transcript_exon_variant,3.54766845703125,83,0.00021065628,90.0
vep_consequence_fraction__splice_donor_variant,3.274186611175537,84,0.0006281674,67.0
vep_consequence_count__non_coding_transcript_exon_variant,2.9191737174987793,85,0.00049199344,73.0
vep_consequence_fraction__stop_gained,2.376898765563965,86,0.00022416314,88.0
vep_sift_count__unknown,1.8057633638381958,87,0.0004314571,75.0
vep_sift_count__deleterious_low_confidence,1.793318748474121,88,0.00025652352,87.0
vep_sift_fraction__tolerated_low_confidence,1.6468467712402344,89,0.00034949993,82.0
vep_consequence_count__splice_region_variant,1.6304529905319214,90,8.658016e-05,92.0
vep_polyphen_fraction__possibly_damaging,1.4072561264038086,91,0.00017032711,91.0
driver_gene_role_matched_event_log_count__IDH1,1.3770430088043213,92,0.00021926778,89.0
