endpoint,task,reference,candidate,delta,ci_low,ci_high,p_two_sided
HRD_Score,regression,full,no_hrd_genes,0.002341558964203738,-0.007156081655489444,0.012066650100040169,0.622
HRD_Score,regression,full,no_vaf,-0.013627035735949922,-0.028115383340952992,0.0013130036456107756,0.072
hrd_binary_24,binary,full,no_hrd_genes,-0.01189936919821244,-0.028444948178031046,0.005847669942624816,0.18
hrd_binary_24,binary,full,no_vaf,0.00567248338482973,-0.002585160522043664,0.014802635912258241,0.183
hrd_binary_33,binary,full,no_hrd_genes,-0.0014377402853239518,-0.006944628874989001,0.003893676154321962,0.637
hrd_binary_33,binary,full,no_vaf,-0.025351094589012746,-0.04073797569606019,-0.01039891046928261,0.0
hrd_binary_42,binary,full,no_hrd_genes,0.0010289389067524857,-0.005483358379890601,0.007946025834851326,0.725
hrd_binary_42,binary,full,no_vaf,0.0051982851018221865,-0.0034128711333044235,0.013983555744790196,0.261
