endpoint,endpoint_display,representation_family,representation_family_display,model_family,model_display,calibration_mode,calibration_mode_display,calibration_y_label,bin,bin_left,bin_right,mean_predicted,observed_frequency,n_samples,n_total,n_classes,endpoint_ece
hrd_binary_33,HRD33 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,3,0.2,0.30000000000000004,0.24976394792925097,0.0975609756097561,41,772,2,0.13971509445031613
hrd_binary_33,HRD33 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,4,0.30000000000000004,0.4,0.35655306108545576,0.08,100,772,2,0.13971509445031613
hrd_binary_33,HRD33 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,5,0.4,0.5,0.4512206104922977,0.18604651162790697,172,772,2,0.13971509445031613
hrd_binary_33,HRD33 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,6,0.5,0.6000000000000001,0.5470203539376618,0.5806451612903226,93,772,2,0.13971509445031613
hrd_binary_33,HRD33 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,7,0.6000000000000001,0.7000000000000001,0.6407610401511192,0.65625,64,772,2,0.13971509445031613
hrd_binary_33,HRD33 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,8,0.7000000000000001,0.8,0.7532140917248196,0.5333333333333333,45,772,2,0.13971509445031613
hrd_binary_33,HRD33 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,9,0.8,0.9,0.8523367829620838,0.8958333333333334,48,772,2,0.13971509445031613
hrd_binary_33,HRD33 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,10,0.9,1.0,0.9376525553790006,0.9090909090909091,22,772,2,0.13971509445031613
hrd_binary_42,HRD42 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,1,0.0,0.1,0.030244864079314423,0.014044943820224719,356,772,2,0.07601780127613492
hrd_binary_42,HRD42 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,2,0.1,0.2,0.14155964330558823,0.14285714285714285,63,772,2,0.07601780127613492
hrd_binary_42,HRD42 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,3,0.2,0.30000000000000004,0.2513031882224137,0.1134020618556701,97,772,2,0.07601780127613492
hrd_binary_42,HRD42 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,4,0.30000000000000004,0.4,0.3475158932823074,0.20689655172413793,58,772,2,0.07601780127613492
hrd_binary_42,HRD42 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,5,0.4,0.5,0.44270618788551896,0.15384615384615385,39,772,2,0.07601780127613492
hrd_binary_42,HRD42 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,6,0.5,0.6000000000000001,0.5579394562677904,0.45454545454545453,22,772,2,0.07601780127613492
