run_id,endpoint,endpoint_display,endpoint_tier,endpoint_tier_display,endpoint_family,task,task_display,representation,representation_display,representation_family,representation_family_display,atlas_status,atlas_status_display,model_family,model_display,model_label,model_label_display,metric,metric_display,primary_score,auroc,auprc,accuracy,f1,balanced_accuracy,delta_vs_signatures,ci_low,ci_high,p_value,q_value,n_samples,n_features,folds,repeats,xgb_estimators,optuna_trials_completed,kme_version,kme_config_id,landmark_mode,sigma_multiplier,sigma_strategy,modality_strategy,landmark_sampling,kernel_weighting,cache_key,oof_prediction_file,fold_metrics_file,na_reason,split_strategy,experiment_id,source_file,bundle_table,source_priority,analysis_family,analysis_family_display,display_model,display_model_display,status,selection_policy
20260524T194601Z,eCARD,eCARD,supplement,Supplement,hrd,regression,Regression,uga_rbf_kernel_mean,UGA kernel mean,channel_KME,Channel KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,XGBoost,XGBoost,XGBRegressor(lightweight),Xgbregressor(lightweight),spearman,Spearman r,0.3354634539794606,,,,,,-0.08380783900377,,,,,772.0,182.0,5.0,1.0,160.0,,,,,,,,,,,,,,5-fold KFold,uga_kme_data_xgboost,uga_kme_data_xgboost_endpoint_results.csv,uga_kme_data_xgboost_endpoint_results.csv,0,Alternative geometry,Alternative geometry,XGBoost,XGBoost,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,high_purity,High tumor purity,supplement,Supplement,tcga_mc3,binary,Binary classification,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,unified_locked,Unified locked model,auroc,AUROC,0.6353029856618674,0.6353029856618674,0.6184298759405773,,,0.5947679912565637,,,,,,9591.0,125.0,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\tcga_signature_endpoints\signature_exposure_endpoint_metrics.csv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,unified_locked,Unified locked model,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,high_purity,High tumor purity,supplement,Supplement,mc3_clinical,binary,Binary classification,uga_rbf_kernel_mean,UGA kernel mean,channel_KME,Channel KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,XGBoost,XGBoost,XGBClassifier(lightweight),Xgbclassifier(lightweight),auroc,AUROC,0.6202571759601778,,,,,,-0.0173082190928807,,,,,9591.0,182.0,5.0,1.0,160.0,,,,,,,,,,,,,,5-fold StratifiedKFold,uga_kme_data_xgboost,uga_kme_data_xgboost_endpoint_results.csv,uga_kme_data_xgboost_endpoint_results.csv,0,Alternative geometry,Alternative geometry,XGBoost,XGBoost,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,high_stage,High stage,supplement,Supplement,tcga_mc3,binary,Binary classification,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,unified_locked,Unified locked model,auroc,AUROC,0.6189014007923878,0.6189014007923878,0.4808869252112365,,,0.5432373033843942,,,,,,6404.0,125.0,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\tcga_signature_endpoints\signature_exposure_endpoint_metrics.csv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,unified_locked,Unified locked model,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,high_stage,High stage,supplement,Supplement,mc3_clinical,binary,Binary classification,uga_rbf_kernel_mean,UGA kernel mean,channel_KME,Channel KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,XGBoost,XGBoost,XGBClassifier(lightweight),Xgbclassifier(lightweight),auroc,AUROC,0.6055388175652934,,,,,,-0.0208700721439345,,,,,6404.0,182.0,5.0,1.0,160.0,,,,,,,,,,,,,,5-fold StratifiedKFold,uga_kme_data_xgboost,uga_kme_data_xgboost_endpoint_results.csv,uga_kme_data_xgboost_endpoint_results.csv,0,Alternative geometry,Alternative geometry,XGBoost,XGBoost,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,hrd_binary_24,HRD24 high/low,supplement,Supplement,main,classification,Classification,locked_uga_sbs_id_separate,Locked UGA SBS+ID separate,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,locked_uga_sbs_id_separate,Locked UGA SBS+ID separate,auroc,AUROC,0.8978873239436621,0.8978873239436621,0.8864709486547749,,,,,,,,,155.0,,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\hrd\all_fold_metrics.tsv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,locked_uga_sbs_id_separate,Locked UGA SBS+ID separate,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,hrd_binary_24,HRD24 high/low,supplement,Supplement,hrd,binary,Binary classification,uga_rbf_kernel_mean,UGA kernel mean,channel_KME,Channel KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,XGBoost,XGBoost,XGBClassifier(lightweight),Xgbclassifier(lightweight),auroc,AUROC,0.8128452338293657,,,,,,-0.0272569925696551,,,,,772.0,182.0,5.0,1.0,160.0,,,,,,,,,,,,,,5-fold StratifiedKFold,uga_kme_data_xgboost,uga_kme_data_xgboost_endpoint_results.csv,uga_kme_data_xgboost_endpoint_results.csv,0,Alternative geometry,Alternative geometry,XGBoost,XGBoost,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,hrd_binary_42,HRD42 high/low,supplement,Supplement,main,classification,Classification,locked_uga_sbs_id_separate,Locked UGA SBS+ID separate,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,locked_uga_sbs_id_separate,Locked UGA SBS+ID separate,auroc,AUROC,0.93252688172043,0.93252688172043,0.8238925891402804,,,,,,,,,154.0,,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\hrd\all_fold_metrics.tsv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,locked_uga_sbs_id_separate,Locked UGA SBS+ID separate,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,hrd_binary_42,HRD42 high/low,supplement,Supplement,hrd,binary,Binary classification,uga_rbf_kernel_mean,UGA kernel mean,channel_KME,Channel KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,XGBoost,XGBoost,XGBClassifier(lightweight),Xgbclassifier(lightweight),auroc,AUROC,0.8852893890675241,,,,,,-0.0373794212218651,,,,,772.0,182.0,5.0,1.0,160.0,,,,,,,,,,,,,,5-fold StratifiedKFold,uga_kme_data_xgboost,uga_kme_data_xgboost_endpoint_results.csv,uga_kme_data_xgboost_endpoint_results.csv,0,Alternative geometry,Alternative geometry,XGBoost,XGBoost,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,kmt2c_mutated,LUAD KMT2C mutated,supplement,Supplement,,,,locked_uga_sbs_id_pooled,Locked UGA SBS+ID pooled,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,unified_locked,Unified locked model,auroc,AUROC,0.7408715351812366,0.7408715351812366,,,,0.6203025053304905,,,,,,515.0,73.0,5.0,1.0,160.0,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\mc3_driver\locked_mc3_luad_kmt2c_feature_summary.csv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,unified_locked,Unified locked model,measured,best measured supplementary row for endpoint and representation family; selected model shown
