endpoint,endpoint_display,representation_family,representation_family_display,model_family,model_display,calibration_mode,calibration_mode_display,bin,bin_left,bin_right,mean_predicted,observed_frequency,n_samples
cancer_type_top10,Cancer type (top 10),signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,8,0.7000000000000001,0.8,0.746025842889725,0.9156378600823045,486
cancer_type_top10,Cancer type (top 10),signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,9,0.8,0.9,0.8522930134547281,0.9776119402985075,536
cancer_type_top10,Cancer type (top 10),signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,10,0.9,1.0,0.9528533138222578,0.9891041162227603,826
os_event,Overall survival event,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,1,0.0,0.1,0.08904101369562632,0.05263157894736842,57
os_event,Overall survival event,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,2,0.1,0.2,0.14702597230831688,0.020491803278688523,244
os_event,Overall survival event,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,3,0.2,0.30000000000000004,0.25718367074020015,0.11755485893416928,1276
os_event,Overall survival event,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,4,0.30000000000000004,0.4,0.3489413939439717,0.1772039180765806,1123
os_event,Overall survival event,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,5,0.4,0.5,0.4574541636649225,0.2831541218637993,1953
os_event,Overall survival event,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,6,0.5,0.6000000000000001,0.5540078418804639,0.36152987158012284,3582
os_event,Overall survival event,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,7,0.6000000000000001,0.7000000000000001,0.6339953143280801,0.4605925097820011,1789
os_event,Overall survival event,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,8,0.7000000000000001,0.8,0.7245003527828625,0.6339285714285714,112
os_event,Overall survival event,signatures_plus_MAF_stack,Signatures + MAF stack,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,9,0.8,0.9,0.8227560917536417,1.0,3
