endpoint_display,endpoint_tier_display,task_display,representation_family_display,representation_display,atlas_status_display,model_display,metric_display,primary_score,auroc,auprc,accuracy,f1,balanced_accuracy,p_value,q_value,delta_vs_signatures,ci_low,ci_high,n_samples,n_features,folds,repeats,xgb_estimators,optuna_trials_completed,na_reason,split_strategy,endpoint,endpoint_tier,task,representation_family,representation,atlas_status,model_family,metric,run_id,cache_key,oof_prediction_file,fold_metrics_file,experiment_id,source_file
Cancer type (top 10),Main,Multiclass classification,Event-level MAF stack,Event-level MAF stack,No UGA atlas,XGBoost,macro-AUROC,0.9367616100185155,0.9367616100185155,,0.6634932259245697,0.6610329757963456,0.6513994818086514,,,,,,5462.0,1823.0,5.0,1.0,,0.0,,5-fold StratifiedKFold,cancer_type_top10,main,multiclass,MAF_stack_only,MAF_stack_only,no UGA atlas,XGBoost,macro_auroc,20260524T162414Z,main_complete_panel_mc3_maf_only_best_gene_locus_multiscale_stack_4d7204a3df7f4ac9d62a915b,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Cancer type (top 10),Main,Multiclass classification,Event-level MAF stack,Event-level MAF stack,No UGA atlas,Elastic net,macro-AUROC,0.8462373008842148,0.8462373008842148,,0.5682900036616624,0.584595888992584,0.5460893122600691,,,,,,5462.0,1823.0,5.0,1.0,,0.0,,5-fold StratifiedKFold,cancer_type_top10,main,multiclass,MAF_stack_only,MAF_stack_only,no UGA atlas,elastic_net,macro_auroc,20260524T162414Z,main_complete_panel_mc3_maf_only_best_gene_locus_multiscale_stack_7227b5f529e2757d5f9718ef,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Cancer type (top 10),Main,Multiclass classification,Mutational burden,Mutational burden,No UGA atlas,XGBoost,macro-AUROC,0.8395815999901807,0.8395815999901807,,0.4320761625778103,0.3960525642297376,0.407407333504264,,,,,,5462.0,3.0,5.0,1.0,,0.0,,5-fold StratifiedKFold,cancer_type_top10,main,multiclass,burden_only,burden_only,no UGA atlas,XGBoost,macro_auroc,20260524T162414Z,main_complete_panel_mc3_standard_features_5e7df4e23554036559289881,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Cancer type (top 10),Main,Multiclass classification,Mutational burden,Mutational burden,No UGA atlas,Elastic net,macro-AUROC,0.795931203233786,0.795931203233786,,0.332845111680703,0.3140616575251484,0.3515446237045572,,,,,,5462.0,3.0,5.0,1.0,,0.0,,5-fold StratifiedKFold,cancer_type_top10,main,multiclass,burden_only,burden_only,no UGA atlas,elastic_net,macro_auroc,20260524T162414Z,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Cancer type (top 10),Main,Multiclass classification,One-hot sequence KME,One-hot sequence KME,GRCh37 FASTA windows,XGBoost,macro-AUROC,0.9064175734284684,0.9064175734284684,,0.5699377517392896,0.5678488973909713,0.5630498569944118,,,-0.0172640054461308,,,5462.0,132.0,5.0,1.0,,10.0,,5-fold StratifiedKFold,cancer_type_top10,main,multiclass,one_hot_event_KME,one_hot_event_kme_oracle,uses GRCh37 FASTA windows; no UGA atlas,XGBoost,macro_auroc,20260524T162414Z,one_hot_event_kme_features_d43add3fd23ef111ffd5eaf2,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv
Cancer type (top 10),Main,Multiclass classification,One-hot sequence KME,One-hot sequence KME,GRCh37 FASTA windows,Elastic net,macro-AUROC,0.8545936738627548,0.8545936738627548,,0.4805931893079458,0.4937268461328316,0.4819177462400849,,,-0.0218503981336475,,,5462.0,68.0,5.0,1.0,,10.0,,5-fold StratifiedKFold,cancer_type_top10,main,multiclass,one_hot_event_KME,one_hot_event_kme_oracle,uses GRCh37 FASTA windows; no UGA atlas,elastic_net,macro_auroc,20260524T162414Z,one_hot_event_kme_features_f2f3cd362d8eae1b6a66f09a,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv
Cancer type (top 10),Main,Multiclass classification,Mutational signatures,SBS96 + ID83 spectra,No UGA atlas,XGBoost,macro-AUROC,0.9258837946569584,0.9258837946569584,,0.6411570853167338,0.6459488735759928,0.6367459698842718,,,,,,5462.0,182.0,5.0,1.0,,0.0,,5-fold StratifiedKFold,cancer_type_top10,main,multiclass,signatures_only,standard_sbs96_id83,no UGA atlas,XGBoost,macro_auroc,20260524T162414Z,main_complete_panel_mc3_standard_features_5e7df4e23554036559289881,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Cancer type (top 10),Main,Multiclass classification,Mutational signatures,SBS96 + ID83 spectra,No UGA atlas,Elastic net,macro-AUROC,0.8695577850713951,0.8695577850713951,,0.5087879897473453,0.5275353912281303,0.5052453662771531,,,,,,5462.0,182.0,5.0,1.0,,0.0,,5-fold StratifiedKFold,cancer_type_top10,main,multiclass,signatures_only,standard_sbs96_id83,no UGA atlas,elastic_net,macro_auroc,20260524T162414Z,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Cancer type (top 10),Main,Multiclass classification,Signatures + MAF stack,Signatures + MAF stack,No UGA atlas,XGBoost,macro-AUROC,0.9577306636052138,0.9577306636052138,,0.7339802270230684,0.7417708582846794,0.7294134763072373,,,,,,5462.0,2005.0,5.0,1.0,,0.0,,5-fold StratifiedKFold,cancer_type_top10,main,multiclass,signatures_plus_MAF_stack,signatures_plus_MAF_stack,no UGA atlas,XGBoost,macro_auroc,20260524T162414Z,main_complete_panel_mc3_id_plus_best_gene_locus_multiscale_stack_9b80a6853e563772f3b369f5,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Cancer type (top 10),Main,Multiclass classification,Signatures + MAF stack,Signatures + MAF stack,No UGA atlas,Elastic net,macro-AUROC,0.8706765291789296,0.8706765291789296,,0.6186378615891615,0.6420544864452679,0.5969188387516084,,,,,,5462.0,2005.0,5.0,1.0,,0.0,,5-fold StratifiedKFold,cancer_type_top10,main,multiclass,signatures_plus_MAF_stack,signatures_plus_MAF_stack,no UGA atlas,elastic_net,macro_auroc,20260524T162414Z,main_complete_panel_mc3_id_plus_best_gene_locus_multiscale_stack_6f61039a7324d547d6e57b91,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
