setting,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,n_estimators,cv_score_mean,cv_score_sd
1,4,0.05,0.8,0.6,1.0,400,0.7683276965143168,0.021245230163650496
2,6,0.05,0.8,0.6,1.0,400,0.7700788967863355,0.0192372133510326
3,6,0.1,0.8,0.8,2.0,300,0.7602568617011404,0.02719908607803719
4,8,0.05,0.7,0.5,5.0,400,0.7722154196851398,0.02144060867637218
