setting,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,n_estimators,cv_score_mean,cv_score_sd
1,4,0.05,0.8,0.6,1.0,400,0.6918226264020644,0.010186575991267096
2,6,0.05,0.8,0.6,1.0,400,0.6893002714400097,0.017805865635514954
3,6,0.1,0.8,0.8,2.0,300,0.6808193056303604,0.01619399911064366
4,8,0.05,0.7,0.5,5.0,400,0.6918902749139166,0.02361129840414725
