run_id,endpoint,endpoint_display,endpoint_tier,endpoint_tier_display,endpoint_family,task,task_display,representation,representation_display,representation_family,representation_family_display,atlas_status,atlas_status_display,model_family,model_display,model_label,model_label_display,metric,metric_display,primary_score,macro_auroc,auroc,micro_auroc,auprc,accuracy,macro_f1,f1,balanced_accuracy,cohen_kappa,top3_accuracy,top5_accuracy,delta_vs_signatures,ci_low,ci_high,p_value,q_value,n_samples,n_features,folds,repeats,xgb_estimators,optuna_trials_completed,kme_version,landmark_mode,sigma_multiplier,sigma_strategy,modality_strategy,landmark_sampling,kernel_weighting,cache_key,oof_prediction_file,fold_metrics_file,na_reason,split_strategy,experiment_id,source_file,bundle_table,source_priority,expected_source,status,canonical_source,canonical_slot_id
20260820T084654Z,PARPi7,PARPi7,supplement,Supplement,mc3_main,regression,Regression,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,spearman,Spearman r,0.151588907714488,,,,,,,,,,,,,,,,,772.0,182.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_standard_features_8cb3c8c73eb9a71f2bf3c228,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,PARPi7,PARPi7,supplement,Supplement,mc3_main,regression,Regression,MAF_stack_only,Bio MAF v4,MAF_stack_only,Bio MAF v4,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,spearman,Spearman r,0.3059498105383341,,,,,,,,,,,,,,,,,772.0,948.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,PARPi7,PARPi7,supplement,Supplement,mc3_main,regression,Regression,MAF_stack_only,Bio MAF v4,MAF_stack_only,Bio MAF v4,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,spearman,Spearman r,0.3509763864152444,,,,,,,,,,,,,,,,,772.0,948.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,PARPi7,PARPi7,supplement,Supplement,mc3_main,regression,Regression,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_plus_MAF_stack,Signatures + Bio MAF v4,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,spearman,Spearman r,0.283042950651208,,,,,,,,,,,,,,,,,772.0,1130.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_signatures_plus_maf_stack_bio_v4_nested_fs_ac11587791bbbd40db3991bb,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,PARPi7,PARPi7,supplement,Supplement,mc3_main,regression,Regression,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_plus_MAF_stack,Signatures + Bio MAF v4,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,spearman,Spearman r,0.3632307792201503,,,,,,,,,,,,,,,,,772.0,1130.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_signatures_plus_maf_stack_bio_v4_nested_fs_ac11587791bbbd40db3991bb,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,eCARD,eCARD,supplement,Supplement,mc3_main,regression,Regression,burden_only,Mutational burden,burden_only,Mutational burden,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,spearman,Spearman r,0.2894229931431124,,,,,,,,,,,,,,,,,772.0,3.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_standard_features_8cb3c8c73eb9a71f2bf3c228,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,eCARD,eCARD,supplement,Supplement,mc3_main,regression,Regression,burden_only,Mutational burden,burden_only,Mutational burden,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,spearman,Spearman r,0.3357671925774406,,,,,,,,,,,,,,,,,772.0,3.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_standard_features_8cb3c8c73eb9a71f2bf3c228,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,eCARD,eCARD,supplement,Supplement,mc3_main,regression,Regression,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,spearman,Spearman r,0.3035918254177233,,,,,,,,,,,,,,,,,772.0,182.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_standard_features_8cb3c8c73eb9a71f2bf3c228,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,eCARD,eCARD,supplement,Supplement,mc3_main,regression,Regression,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,spearman,Spearman r,0.3778196787764436,,,,,,,,,,,,,,,,,772.0,182.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_standard_features_8cb3c8c73eb9a71f2bf3c228,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,eCARD,eCARD,supplement,Supplement,mc3_main,regression,Regression,MAF_stack_only,Bio MAF v4,MAF_stack_only,Bio MAF v4,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,spearman,Spearman r,0.5293517008830804,,,,,,,,,,,,,,,,,772.0,948.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,eCARD,eCARD,supplement,Supplement,mc3_main,regression,Regression,MAF_stack_only,Bio MAF v4,MAF_stack_only,Bio MAF v4,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,spearman,Spearman r,0.5348248428331155,,,,,,,,,,,,,,,,,772.0,948.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,eCARD,eCARD,supplement,Supplement,mc3_main,regression,Regression,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_plus_MAF_stack,Signatures + Bio MAF v4,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,spearman,Spearman r,0.5081217041767748,,,,,,,,,,,,,,,,,772.0,1130.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_signatures_plus_maf_stack_bio_v4_nested_fs_ac11587791bbbd40db3991bb,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,eCARD,eCARD,supplement,Supplement,mc3_main,regression,Regression,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_plus_MAF_stack,Signatures + Bio MAF v4,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,spearman,Spearman r,0.5154522695126605,,,,,,,,,,,,,,,,,772.0,1130.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_signatures_plus_maf_stack_bio_v4_nested_fs_ac11587791bbbd40db3991bb,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer KFold; inner validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,PFI,PFI survival,supplement,Supplement,tcga_cdr_survival,survival,Survival,burden_only,Mutational burden,burden_only,Mutational burden,no UGA atlas,No UGA atlas,cox_ph,CoxNet,cox_ph,CoxNet,c_index,Harrell C-index,0.5552189389685701,,,,,,,,,,,,,,,,,9857.0,3.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_standard_features_8cb3c8c73eb9a71f2bf3c228,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer event-stratified folds; inner event-stratified validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,PFI,PFI survival,supplement,Supplement,tcga_cdr_survival,survival,Survival,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,cox_ph,CoxNet,cox_ph,CoxNet,c_index,Harrell C-index,0.569733409231742,,,,,,,,,,,,,,,,,9857.0,182.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_standard_features_8cb3c8c73eb9a71f2bf3c228,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer event-stratified folds; inner event-stratified validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,PFI,PFI survival,supplement,Supplement,tcga_cdr_survival,survival,Survival,MAF_stack_only,Bio MAF v4,MAF_stack_only,Bio MAF v4,no UGA atlas,No UGA atlas,cox_ph,CoxNet,cox_ph,CoxNet,c_index,Harrell C-index,0.621967029930306,,,,,,,,,,,,,,,,,9857.0,948.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_15d698606a129584e3f82812,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer event-stratified folds; inner event-stratified validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
20260820T084654Z,PFI,PFI survival,supplement,Supplement,tcga_cdr_survival,survival,Survival,signatures_plus_MAF_stack,Signatures + Bio MAF v4,signatures_plus_MAF_stack,Signatures + Bio MAF v4,no UGA atlas,No UGA atlas,cox_ph,CoxNet,cox_ph,CoxNet,c_index,Harrell C-index,0.6304735459790111,,,,,,,,,,,,,,,,,9857.0,1130.0,5.0,1.0,,0.0,,,,,,,,main_complete_panel_mc3_signatures_plus_maf_stack_bio_v4_nested_fs_84f657f2ccd107a55908f7ca,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5 outer event-stratified folds; inner event-stratified validation split,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,,,,
